# psi Mf af cosiota Q A2220 A2221 A2330 phi2220 phi2221 phi2330 logL logPrior
8.778814597253773444e-01 6.416707490288681015e+01 3.373838521903616550e-01 -1.342690834635165142e-01 8.115885655487227179e-01 1.172550019333357696e+01 1.124056352635136768e+01 5.132081556078907925e-01 2.376140710660008981e+00 4.765170489345874394e+00 4.695674762462558327e+00 2.108208428981148609e+04 0.000000000000000000e+00
2.626015674598531469e+00 6.644103649971636116e+01 6.649528567097504617e-01 -3.150046144739679366e-02 1.988708433295199862e-02 9.164347886958186251e+00 8.466183116028608069e+00 3.499165662145196087e-01 5.761112988915266797e+00 1.807568066011078889e+00 1.502984716918890795e+00 2.108280697599571431e+04 0.000000000000000000e+00
2.309508900652650354e+00 6.778054037714842650e+01 5.266403294359511822e-01 -3.903405826870153805e-01 5.976386783790796908e-01 9.195103022842721074e+00 7.620417579297714461e+00 3.159775042750741503e-01 5.025502005050265453e+00 1.009238183487403573e+00 2.894688894903038601e-01 2.108308524532859519e+04 0.000000000000000000e+00
1.284234730899550980e+00 6.220740213024252085e+01 2.540109109205307414e-01 -1.908472409994020347e-01 8.727191209607083611e-01 8.904327710785507222e+00 8.838774171951602199e+00 4.158552066940069958e-01 2.643310137142810934e+00 5.022500587029573360e+00 4.666718748619728352e+00 2.108330585964646161e+04 0.000000000000000000e+00
4.962093931057201535e-01 6.287095817496897610e+01 2.175068110039219405e-01 5.701055229187400597e-01 9.187867954686248506e-01 7.423823208666192386e+00 6.961977490107100763e+00 4.126379518640143629e-01 4.145878913978410019e+00 1.286010640154043594e-01 5.589039416597315402e+00 2.108402385077621511e+04 0.000000000000000000e+00
1.403667427655528321e+00 6.433899638825012346e+01 6.177159548733427430e-01 -1.323911243532076842e-01 3.482732730816001654e-02 9.408496189517759234e+00 8.490766845217699199e+00 4.146343546790384749e-01 2.743892580444004192e+00 5.133265121678673992e+00 4.799514186330258170e+00 2.108402459998770428e+04 0.000000000000000000e+00
6.355215516168993828e-01 6.489465017679010828e+01 3.051602647118741851e-01 -9.095669996676860602e-01 8.482346631536077375e-01 4.809101289278156166e+00 3.891515874731190205e+00 3.517838213831376848e-01 1.513626777626770004e+00 3.877285055229906074e+00 3.514015096283143791e+00 2.108472936061392102e+04 0.000000000000000000e+00
2.264194401179814520e+00 6.520568819495827029e+01 5.179795337531752919e-01 2.500114739739360270e-01 5.556790500059393123e-01 1.346992751851661474e+01 1.276590273044601886e+01 5.895714608367474963e-01 2.125106462588650380e-01 2.571584828186310734e+00 2.271175359917798620e+00 2.108476523832189559e+04 0.000000000000000000e+00
6.438683838177468033e-01 6.406899640234807691e+01 3.746757970681647842e-01 -3.236784376244496997e-01 7.373164662317311935e-01 1.254438775253015947e+01 1.007741724332701772e+01 3.572561776347760731e-01 1.753439720000390167e+00 4.147434465081323296e+00 3.931397163345815571e+00 2.108494108009801130e+04 0.000000000000000000e+00
1.326340300139057238e+00 6.432021369986469495e+01 6.190949847315323495e-01 -4.634439978042034780e-01 5.600054048978813509e-02 7.479947703009276694e+00 6.695753910356445182e+00 2.696783254787148421e-01 2.799455094502747876e+00 5.175248417621101993e+00 4.875445020579504352e+00 2.108494189818838640e+04 0.000000000000000000e+00
