# psi Mf af cosiota Q A2220 A2221 phi2220 phi2221 logL logPrior
1.697994186137688377e+00 6.581039561016410744e+01 6.173856141059927971e-01 1.615611105161237904e-01 3.017400676859107733e-01 8.426107082073912125e+00 3.877149549699650422e+00 3.207273276898209069e+00 5.741025431209612506e+00 2.132777234627795406e+04 0.000000000000000000e+00
1.960163685505084352e+00 6.540026999044850697e+01 6.466605417844247805e-01 2.975564092467773980e-01 6.697389092730458501e-03 9.591515749565669324e+00 4.614606107278275360e+00 2.257065511016556503e+00 4.763765051170721243e+00 2.132779163758448703e+04 0.000000000000000000e+00
2.920676835495219059e+00 6.421846524944429291e+01 5.634370971741818890e-01 -2.257103326299801302e-02 3.661806914088152620e-01 6.173248975075265044e+00 2.923085196924721352e+00 4.793927612477443256e-01 3.137706574064781595e+00 2.132781278303504951e+04 0.000000000000000000e+00
3.609137948336569313e-01 6.492144866007404858e+01 6.299803940229755650e-01 2.339263832895414064e-01 1.388114688465062752e-01 1.164722026258104925e+01 5.680391870190614867e+00 5.571901446461493101e+00 1.795849648179253633e+00 2.132781995823199031e+04 0.000000000000000000e+00
2.166629216799687896e+00 6.535899789089296519e+01 6.164965154030965788e-01 1.877973428228567054e-01 2.885727672881826522e-01 1.269728479043063984e+01 6.290503758090733477e+00 1.315293619685239168e+00 3.744328429063606301e+00 2.132782293008355919e+04 0.000000000000000000e+00
3.033814764397404495e+00 5.981316654383050491e+01 1.310336121431766865e-01 -3.132298654442948194e-01 9.637792314222922707e-01 5.842254832700815470e+00 2.906058687224577497e+00 6.936830859724262277e-01 3.292482394807893620e+00 2.132784529281862342e+04 0.000000000000000000e+00
5.924304603380039502e-01 6.443725888605494845e+01 6.020692472299982168e-01 -3.702177440472885772e-01 1.991010193668877326e-01 7.682014998921481208e+00 3.494702156957770978e+00 2.459251115844874214e+00 5.117071291223209251e+00 2.132787864860840273e+04 0.000000000000000000e+00
2.743874358615826736e+00 6.389074982054443552e+01 5.620844687180256427e-01 -8.298139349413385935e-01 3.552415345400055102e-01 3.608363388307753716e+00 1.811124877895569085e+00 3.077731391210288270e-01 2.952956449236480374e+00 2.132788539700521869e+04 0.000000000000000000e+00
7.005128187717739596e-01 6.455378724154185477e+01 6.198796409602234103e-01 -1.494118853191524487e-01 1.721856995739696472e-01 1.094994634049756677e+01 5.496318554287030977e+00 3.055326868664135720e+00 5.620643441776778992e+00 2.132792745857759292e+04 0.000000000000000000e+00
5.163182515847889453e-01 6.476448595011608234e+01 4.379107627787721113e-01 -2.265965425037584358e-01 6.806769621666212133e-01 1.253954697513001548e+01 5.730234484943713014e+00 2.271579475152659899e+00 4.789781169178251474e+00 2.132792780871094146e+04 0.000000000000000000e+00
2.492234851037577137e+00 6.577198147551493435e+01 5.389716814889122798e-01 3.764595984786500149e-01 5.144930446402897761e-01 5.735195435377297812e+00 2.595462949132629760e+00 9.351804366537469493e-01 3.551808706129876203e+00 2.132805318629279282e+04 0.000000000000000000e+00
2.503450915618071537e+00 6.439112058838097141e+01 5.794762576309205881e-01 2.351134410516721174e-01 3.263711967099438005e-01 6.596333444342448615e+00 3.132073549408954882e+00 7.742123547210668644e-01 3.372394374322528421e+00 2.132807479524155860e+04 0.000000000000000000e+00
2.081447633833157784e+00 6.435451461826508535e+01 5.710947743214056516e-01 -4.701360057012048399e-01 3.348871355380679260e-01 6.370275284993757836e+00 2.948255343704399234e+00 5.337429567485425963e+00 1.727756128891206444e+00 2.132816627487637015e+04 0.000000000000000000e+00
1.182603422202042065e+00 6.509447053717565268e+01 6.017647534642500684e-01 -3.219658396985947135e-01 3.037761554160328670e-01 5.281261307720527043e+00 2.380142482336194298e+00 3.516331760540199802e+00 6.036131363871508171e+00 2.132816783496539210e+04 0.000000000000000000e+00
4.601383006751247340e-02 6.473752011180189925e+01 6.219013566793704095e-01 -9.507026236649719630e-02 1.194266891443630518e-01 7.800166095095657504e+00 3.530744082818345397e+00 6.501771444350160634e-01 3.242420873177592089e+00 2.132817785149303381e+04 0.000000000000000000e+00
2.813709143509242061e+00 6.470916921230279684e+01 6.020205759196761708e-01 7.837168448857089187e-01 2.490394857466115275e-01 3.718969022029525284e+00 1.816389678071496094e+00 4.738187178283013168e-01 3.104376955708171959e+00 2.132818833872049800e+04 0.000000000000000000e+00
2.331336726637337264e+00 6.483484232066084019e+01 4.761632631694751594e-01 5.803931962954733681e-01 6.113184410869353380e-01 4.886356052280767415e+00 2.297976507945361124e+00 1.356890920926607791e+00 3.910229544932964707e+00 2.132819293953043234e+04 0.000000000000000000e+00
3.019399477455455560e+00 6.572236436175437291e+01 5.728060994834850428e-01 -5.431610338247666592e-02 4.333188728139773516e-01 6.241310279356897972e+00 2.730319664531316359e+00 5.082574327769696643e-01 3.037563809759150413e+00 2.132821810879680561e+04 0.000000000000000000e+00
1.363201037076978928e+00 6.571255150732247330e+01 6.498537895356735206e-01 -1.350557615271160417e-01 9.242363894182692441e-02 5.739969462499303177e+00 2.662526042530704462e+00 3.629867728798991333e+00 6.051427173981410945e+00 2.132821990677776921e+04 0.000000000000000000e+00
2.733016824276412127e+00 6.345065526720964044e+01 3.497764077669855420e-01 -9.439195357320078195e-01 7.710007991727244603e-01 3.220160517552628221e+00 1.539580393413447101e+00 3.065119366090293118e-01 2.959236944318045737e+00 2.132822044581204318e+04 0.000000000000000000e+00
4.774680361242888971e-02 6.586854342742314827e+01 6.165595453287714411e-01 -4.097120386299584194e-01 2.925820964863924400e-01 5.651213806143821294e+00 2.601475267604046238e+00 1.034736424916857800e+00 3.567364528358994313e+00 2.132825783680566383e+04 0.000000000000000000e+00
1.438827059041692724e+00 6.557249969218979402e+01 5.265560937316443590e-01 -5.963959846480910709e-01 5.449628851839631860e-01 4.331143405186619333e+00 2.050515363167114025e+00 3.913297281322441368e+00 1.381170252166693257e-01 2.132826723822576605e+04 0.000000000000000000e+00
2.056287060659267585e+00 6.513279609935355552e+01 5.529751475401265548e-01 -5.244945724751575167e-01 4.552296809811231526e-01 5.715823363954533498e+00 2.765291644155181583e+00 5.233197654312919056e+00 1.579878548680329509e+00 2.132829782042746592e+04 0.000000000000000000e+00
1.507522587517586166e+00 6.442976799722219994e+01 6.075718682670455673e-01 2.009992386134413778e-01 2.300472977598150837e-01 6.414158799436536995e+00 3.193498888851407980e+00 3.338848587539986479e+00 5.874145980675455903e+00 2.132830837868362505e+04 0.000000000000000000e+00
2.146957875167818219e+00 6.495721426332839599e+01 6.163380755498305552e-01 -8.434438974567487479e-01 2.092432243155704086e-01 3.452859681903742484e+00 1.569278066554172124e+00 5.395634488196423106e+00 1.620976800631312775e+00 2.132836927531038236e+04 0.000000000000000000e+00
1.077443665152530317e+00 6.381097197675824617e+01 5.426249652494982145e-01 3.888676658510046846e-01 4.145588753726524578e-01 5.455346148766491154e+00 2.740892404571195318e+00 3.820467678600996564e+00 1.608587790164255904e-01 2.132840297063337493e+04 0.000000000000000000e+00
2.651465842756448144e+00 6.539221250929145413e+01 5.780418162958387285e-01 -1.933646469349201702e-01 4.061369901862970644e-01 5.897867041316313674e+00 2.749419042800726132e+00 3.286777376445903509e-01 2.912372687443961272e+00 2.132840304569031650e+04 0.000000000000000000e+00
2.168444984017403876e-01 6.407174470494024376e+01 5.463155084203957790e-01 -2.272722474081310950e-01 4.093187696570114165e-01 9.615909159347372892e+00 4.726767264925216594e+00 1.148965614630231169e+00 3.790296234914652729e+00 2.132840569360864174e+04 0.000000000000000000e+00
2.796584042959134209e+00 6.462605621268005507e+01 6.147751070940492557e-01 1.791147626550484706e-01 1.755423858570290818e-01 5.734748262382142414e+00 2.708755532667892041e+00 4.624463855988410477e-01 3.051987292081506986e+00 2.132840631365133231e+04 0.000000000000000000e+00
2.502812934857647331e+00 6.401398303501130727e+01 6.157042919285624638e-01 -7.252932104196148366e-02 9.371352982023465478e-03 7.406660225984541768e+00 3.698765114057546377e+00 3.479955235354435517e-01 2.996593595158092871e+00 2.132843597923134075e+04 0.000000000000000000e+00
1.769253245240499428e+00 5.969490263180387757e+01 1.129564133002339543e-01 -4.030234136551914537e-01 9.815508823354390788e-01 6.450542012324860686e+00 2.985344580489953437e+00 4.476230639268873546e+00 7.774772496997413018e-01 2.132852639491629816e+04 0.000000000000000000e+00
1.828930252839143566e+00 6.430974443409876073e+01 5.651461007323442809e-01 -4.188607210004252623e-01 3.571504021989092559e-01 6.699310672026633995e+00 3.124692763698299736e+00 4.649936208610352395e+00 1.013290500526126570e+00 2.132852713135853992e+04 0.000000000000000000e+00
4.569777089851926322e-01 6.482493870122415558e+01 4.533587326623379488e-01 2.459596285963633333e-01 6.470676117492635271e-01 1.200904291985679428e+01 5.405620296960516491e+00 5.199748083799910603e+00 1.493883649731639451e+00 2.132852793116279281e+04 0.000000000000000000e+00
9.336969788334636977e-02 6.431713211935016261e+01 6.174872963733488707e-01 -5.413629215743878120e-01 5.136350809362810743e-02 5.032446106357240545e+00 2.429537243342061892e+00 1.218357907756840053e+00 3.853167500775239951e+00 2.132853660564316306e+04 0.000000000000000000e+00
2.257373318949010610e+00 6.623428058839600396e+01 5.758103185283469649e-01 5.194617534155534511e-01 4.524414267367661835e-01 5.261876199001862986e+00 2.354380041565459880e+00 1.482773155255585840e+00 3.991857062647997001e+00 2.132860276569823327e+04 0.000000000000000000e+00
2.181753652114148956e+00 6.514433632456929502e+01 4.971643255759490287e-01 4.240264965794560137e-01 5.897618373619597509e-01 6.678417347513734725e+00 3.284462846149163173e+00 1.598559459716541786e+00 4.132817671033965468e+00 2.132860819202697530e+04 0.000000000000000000e+00
2.365075331355207311e+00 6.568171850098018183e+01 6.338415833470497640e-01 -7.680500299215494708e-01 1.964801040423113654e-01 3.700407136742781766e+00 1.666950986496787079e+00 5.860349761408860658e+00 2.137109823598124958e+00 2.132861620593002590e+04 0.000000000000000000e+00
1.799584371027477925e+00 6.543760029250458388e+01 6.036224226319824027e-01 2.089847321368569488e-01 3.260783266876391973e-01 9.673652498886712081e+00 4.349863789404771808e+00 2.912052678061477273e+00 5.422620027397401898e+00 2.132862805012027457e+04 0.000000000000000000e+00
2.225155021188558457e+00 6.580834564568756662e+01 5.618300502310445976e-01 6.579542075457513184e-02 4.688533189144921121e-01 1.463553098081605697e+01 6.714996030999876631e+00 7.656506298500629359e-01 3.317405965999604689e+00 2.132863905997250913e+04 0.000000000000000000e+00
2.343814706796014669e+00 6.427502685969676577e+01 6.086612084256449728e-01 2.492237168356771226e-01 1.601563782362820376e-01 8.089942426481821158e+00 3.789895307236447852e+00 1.050949562250869773e+00 3.690874366371671211e+00 2.132864544630015735e+04 0.000000000000000000e+00
9.087356619370194899e-01 6.556325014823123354e+01 4.954011373190526646e-01 7.437484383488683799e-03 5.986846135660194301e-01 7.499377282146774348e+00 3.481109507517803792e+00 3.607527402726901755e+00 6.143421295076014310e+00 2.132871272400342059e+04 0.000000000000000000e+00
5.565184907282277882e-01 6.277590648474158286e+01 2.368403064702786776e-01 -3.544404878564316186e-01 9.014025786728395717e-01 7.922363242036733588e+00 3.543749037461033868e+00 2.323341045190944421e+00 4.826413919766808114e+00 2.132875624240387333e+04 0.000000000000000000e+00
7.537362090191280783e-01 6.528633689318250788e+01 6.405399503285694740e-01 5.297114914059902757e-01 1.176839604881654983e-01 5.129112922838444000e+00 2.465360218147320648e+00 4.453909310888109374e+00 6.763719699294127308e-01 2.132876116006179291e+04 0.000000000000000000e+00
5.196926546537796732e-01 6.535981334669969556e+01 5.540601648014797931e-01 4.093951841689080218e-01 4.735282740838133164e-01 7.184972578122287068e+00 3.552484923675864437e+00 4.975330201595810742e+00 1.263077539890250511e+00 2.132890100265187721e+04 0.000000000000000000e+00
2.174222112280662422e+00 6.502215032777041870e+01 6.393696324951994026e-01 -2.891307649563962245e-01 1.037361869968909528e-01 9.195184365484358580e+00 4.610291226873319381e+00 5.618547654139042891e+00 1.792826245446601963e+00 2.132890845271718717e+04 0.000000000000000000e+00
7.749054070097864955e-01 6.609755700037044335e+01 5.091977393847795241e-01 -3.724533996955557424e-01 5.906643358503056440e-01 6.365558714400609830e+00 2.819167193421858286e+00 2.873305723199125250e+00 5.390635894528749361e+00 2.132891723071807428e+04 0.000000000000000000e+00
6.726474932974040311e-01 6.560855491696641195e+01 6.484265381684043428e-01 1.717560553464304030e-01 3.505640310775411800e-02 1.096682588740420528e+01 5.160036484056098161e+00 4.222294575813618778e+00 4.538827102788232648e-01 2.132892478590443352e+04 0.000000000000000000e+00
2.506866396299343602e+00 6.598482438851679888e+01 6.177784619199531146e-01 5.203011839690288021e-01 3.203984797749930280e-01 4.762916990079210322e+00 2.236121681221451940e+00 9.510183603285590204e-01 3.418576424315300955e+00 2.132894229590743998e+04 0.000000000000000000e+00
1.879113703416715353e+00 6.440523673646603697e+01 6.205735252133409707e-01 5.349293320225343429e-01 1.227662785088571989e-01 5.487741492092247597e+00 2.707655728579445142e+00 2.367496134462272028e+00 4.919010317050375392e+00 2.132896839161103708e+04 0.000000000000000000e+00
1.214569263759411877e+00 6.577096091014952606e+01 5.878379778160068847e-01 3.826548689301937922e-01 4.063175980667559362e-01 5.009665327144108282e+00 2.417084628065418794e+00 3.601561820771906675e+00 6.047319814751119793e+00 2.132897220117767938e+04 0.000000000000000000e+00
1.965815430362884086e+00 6.481687875620515626e+01 4.907008003860379719e-01 -4.090624339301096590e-01 5.850276154877288581e-01 7.292267536260719218e+00 3.604319500478299076e+00 4.979562292871536400e+00 1.294093193316267154e+00 2.132897536365179621e+04 0.000000000000000000e+00
2.281159192577541184e+00 6.400718609615815069e+01 6.093436075798571716e-01 2.681637004348517150e-01 5.753794674424411726e-02 8.572272061933571052e+00 4.006734909414061185e+00 1.222400309095754922e+00 3.883735427242875016e+00 2.132898422702726384e+04 0.000000000000000000e+00
5.178999008643128121e-01 6.376114633656543162e+01 6.075337772227175082e-01 9.027955434228501774e-01 7.886884577735450708e-02 3.333794488507850762e+00 1.648285346213476554e+00 5.048394701145628716e+00 1.393801174503080498e+00 2.132900040027323848e+04 0.000000000000000000e+00
2.624292653610408088e+00 6.456846668803872547e+01 6.137334399689227116e-01 5.928658488318201414e-01 1.725008485777686507e-01 4.460743766277275313e+00 2.043095428994395668e+00 8.007011111922455182e-01 3.364510591001577566e+00 2.132900694585426390e+04 0.000000000000000000e+00
1.765596389710091474e+00 6.408889139657284773e+01 2.980791305644782119e-01 4.354013481620636061e-01 8.566152957467235707e-01 5.953368171195444702e+00 2.790946786380910982e+00 2.677086552306851885e+00 5.130540417765684147e+00 2.132900825989430450e+04 0.000000000000000000e+00
2.402221061059330864e+00 6.503206390854991525e+01 3.847759756058020675e-01 8.822431111362386558e-01 7.599423849190114488e-01 3.285744837248896211e+00 1.500942019757117274e+00 1.300410080714150540e+00 3.894001022917805699e+00 2.132903436494846028e+04 0.000000000000000000e+00
4.937924830792447262e-01 6.365724684811018363e+01 3.035992354124416037e-01 -3.279245636803220787e-01 8.440377459889866207e-01 8.911724654737271933e+00 4.453151401790250929e+00 2.097691352839363255e+00 4.578546050317288341e+00 2.132904693426631275e+04 0.000000000000000000e+00
2.153848593340312034e-01 6.503240690829454707e+01 4.104112380462320298e-01 -2.731178051775174920e-01 7.225148508901841904e-01 8.384811725166859020e+00 3.755632172704129967e+00 1.244999070440041100e+00 3.881631702011817175e+00 2.132906884353335045e+04 0.000000000000000000e+00
1.526581246954102689e+00 6.405658951047163896e+01 5.149535376720957291e-01 3.839925719221477518e-01 5.045417944455512504e-01 5.726378448956222833e+00 2.876017601779923716e+00 3.177154359577011533e+00 5.759326674709216221e+00 2.132907784879539031e+04 0.000000000000000000e+00
1.679131195653716713e+00 6.547903800448652589e+01 6.430799695041575781e-01 3.616541203502892654e-01 9.242357798577727213e-02 6.251474306904915679e+00 2.875111774690581434e+00 2.933041088111075112e+00 5.426178469551984129e+00 2.132908952590958506e+04 0.000000000000000000e+00
1.615943782861378963e+00 6.402991883155320352e+01 6.018973205488628020e-01 -2.408363013278063958e-01 1.734771763935020472e-01 7.177721851305973289e+00 3.594321725513179633e+00 3.996188203183991039e+00 3.484449741412046220e-01 2.132910557713087110e+04 0.000000000000000000e+00
5.469124120479115225e-01 6.382868527327380548e+01 6.108752571188720282e-01 -8.368430706714400369e-01 7.474657757572802930e-02 3.562810694496039154e+00 1.761880209913865736e+00 2.177720712957464055e+00 4.714321961173602027e+00 2.132911702228740251e+04 0.000000000000000000e+00
1.687458063286919163e+00 6.519736640668898531e+01 6.429545953670905423e-01 -2.431497323704246427e-01 3.268669634118837736e-02 7.589431003362835604e+00 3.682217481854310304e+00 4.087180371262135736e+00 3.585883886621272221e-01 2.132913068069998917e+04 0.000000000000000000e+00
1.812405459856401224e+00 6.510049687935496365e+01 6.347164067281414468e-01 3.575567378202124669e-01 4.997342241112665007e-02 7.316037220812691366e+00 3.304716850942373441e+00 2.677167247349821366e+00 5.274187330647358785e+00 2.132914178351887676e+04 0.000000000000000000e+00
1.761451614659643505e+00 6.557024684389020308e+01 6.494623557292159566e-01 4.376613447840108084e-01 6.504519868341920863e-02 5.925858652133057625e+00 2.852417206166499852e+00 2.673068648255050750e+00 5.138800874766082494e+00 2.132914811046075920e+04 0.000000000000000000e+00
9.008843994455469906e-01 6.528283280716301817e+01 5.397421757972844514e-01 6.406527018687842023e-01 5.036701714690283715e-01 4.305439343002187336e+00 2.057070966402278600e+00 4.216618334743321483e+00 4.102839487894559545e-01 2.132917006455229057e+04 0.000000000000000000e+00
8.848165774561617125e-01 6.525697909133573660e+01 5.759409649297896339e-01 5.634404904893041133e-01 3.962320382162088928e-01 4.790148758015662089e+00 2.264345661149417932e+00 4.241931648872787619e+00 5.177347711773757633e-01 2.132917711593224521e+04 0.000000000000000000e+00
8.963800079107220320e-01 6.513689002418902874e+01 6.288066139179713243e-01 4.626987290687082921e-01 1.168669239996358716e-01 5.313905635435785868e+00 2.402097659132916174e+00 4.194110578711461201e+00 5.116727518132951902e-01 2.132921237409267997e+04 0.000000000000000000e+00
