# psi Mf af cosiota Q A2220 A2221 A2330 phi2220 phi2221 phi2330 logL logPrior
1.711945719669222488e+00 6.584096821545155365e+01 4.798074834207836648e-01 2.022082458251344139e-01 6.646835916165220182e-01 8.047200925066560373e+00 4.258120702728184881e+00 2.166635302475016234e-01 2.980518783082876322e+00 5.185283984122233569e+00 2.906101001731651312e+00 2.109998574194258617e+04 0.000000000000000000e+00
1.890022401713747358e-01 6.494257306390510109e+01 5.397667427312389243e-01 -4.738636798076689693e-01 4.916557598647326444e-01 5.751659195950553638e+00 2.543304009403804855e+00 1.388399099131179260e-01 1.358415860816831966e+00 3.812297123288006517e+00 2.522613964135629883e-01 2.110079150066358488e+04 0.000000000000000000e+00
2.987469712684923007e+00 6.455720537791675895e+01 4.516616619660884235e-01 5.893295082877234581e-01 6.366008288605352616e-01 4.457082271495685255e+00 2.001911212755744796e+00 3.256823482714695656e-02 1.701419150860585539e-01 2.657583950990861421e+00 9.272612960545911776e-01 2.110261836851391854e+04 0.000000000000000000e+00
6.855812242045762339e-01 6.171029646001777991e+01 3.202730190434640578e-01 -3.420981203282558863e-02 7.620387143599475221e-01 1.415695046864375151e+01 6.706177714157548486e+00 2.050670607257846778e-01 3.473491021775647614e+00 6.070507816810922996e+00 2.801987196596662066e+00 2.110293108536933869e+04 0.000000000000000000e+00
1.919259394602467195e+00 6.819393392429034861e+01 6.606034771966240449e-01 3.211124992437981995e-01 2.583144025756360374e-01 7.619655752366092827e+00 2.381214448160777764e+00 3.189162555591990023e-01 2.455944209905262188e+00 4.310092966851960306e+00 2.250611532647491142e+00 2.110293551200410730e+04 0.000000000000000000e+00
1.144646864764831129e+00 6.293422785949093168e+01 5.763672609260778179e-01 9.828836465257320132e-01 1.142947424207032131e-01 3.135050984368468630e+00 1.305633891756770248e+00 3.703374046543436715e-01 3.848319075132636158e+00 1.856019358965339539e-01 2.944901632126636581e+00 2.110307328533229520e+04 0.000000000000000000e+00
2.174176343790269250e+00 6.579025163226646100e+01 6.363662304587904828e-01 1.767223362574036061e-01 7.981179600873060387e-02 1.292206978542969864e+01 5.535945712999539303e+00 1.678360982361568887e-01 1.384795533111338184e+00 3.960783121030218012e+00 1.741990052347119011e+00 2.110309959722227359e+04 0.000000000000000000e+00
3.688490587271310295e-01 6.723387671924965048e+01 6.627094912867809162e-01 -3.348462459375373124e-01 1.454926199260148656e-01 7.480617224573077984e+00 2.587359570342424586e+00 2.982707561722314216e-01 1.791025369967793601e+00 3.882548596275429809e+00 1.676315643648078613e+00 2.110363810220844243e+04 0.000000000000000000e+00
1.654698052216853954e+00 6.517195510337253950e+01 5.119275249196740818e-01 -3.796562723682719298e-01 5.518352088307900694e-01 5.991031223429190256e+00 2.743559967779306330e+00 4.866572002991800816e-03 4.210630437847276752e+00 4.166578240023706692e-01 3.875828450698494354e+00 2.110375901861889724e+04 0.000000000000000000e+00
9.910701099734292585e-01 6.469907592648661421e+01 3.175345824970722819e-01 1.259075569948143458e-01 8.427188693830858224e-01 6.242312487833563850e+00 2.414288154852433088e+00 2.009001267764703447e-01 3.755981944640141013e+00 6.000819916193532499e+00 3.135503130891720058e+00 2.110386241947133021e+04 0.000000000000000000e+00
1.056354819365837583e-01 6.308490460470593320e+01 5.721803055939930216e-01 1.666489762386604012e-01 2.461027429706144354e-01 8.627450210042773904e+00 4.312438199226958702e+00 1.879468332660733446e-02 8.001078999026295380e-02 2.666835458469704712e+00 3.740773846184862528e+00 2.110416552275366121e+04 0.000000000000000000e+00
5.639530800705563340e-01 6.638928769403079855e+01 6.270317930472123491e-01 3.809084602514311024e-01 2.775876132183839884e-01 6.834630510217877486e+00 2.496810669303005881e+00 3.256111393159179523e-01 4.881916786317069601e+00 6.976747085976440221e-01 4.969466925704982607e+00 2.110417445605348257e+04 0.000000000000000000e+00
2.730511764719648071e-01 6.084080251776853743e+01 1.342929890351390876e-01 1.477399694938946462e-01 9.773778200625984347e-01 1.184675496717089871e+01 4.868739472523480494e+00 1.501002877377342615e-01 6.133435080299618924e+00 2.323951352343198273e+00 1.864838034533173802e-02 2.110419095969361297e+04 0.000000000000000000e+00
1.456354531215672266e+00 6.693511975267470859e+01 6.502877529787908228e-01 -1.182189927055514872e-01 2.407155204538844462e-01 5.741137262631996308e+00 2.400529129368740744e+00 1.066081547509344640e-01 3.686290420012042546e+00 5.733655836273716666e+00 3.365691381925609793e+00 2.110448989626121329e+04 0.000000000000000000e+00
8.509152961340107346e-01 6.466868997349057224e+01 6.169891705747926336e-01 4.036771586950024804e-01 1.255538008818512241e-01 5.604393718375179745e+00 1.928248036637231655e+00 2.079535328247434367e-01 4.263166880363104205e+00 3.039050187834144157e-01 3.632897503430032593e+00 2.110449415493264678e+04 0.000000000000000000e+00
3.808359355280459546e-01 6.482371752157659728e+01 2.926257082660899678e-01 -9.532337749819205230e-01 8.739288496370025694e-01 2.706983424576931530e+00 1.113929321751528478e+00 5.591267936950475859e-01 1.862990866863674100e+00 3.724378540248024727e+00 1.750696471330357440e+00 2.110454072114719384e+04 0.000000000000000000e+00
5.026453750171429036e-01 6.488468399231059891e+01 6.410523776171530574e-01 -2.494506476805029571e-01 1.871126569629105252e-03 1.143875516682371440e+01 6.414057039544903027e+00 3.242231084533628294e-01 2.109760586007602523e+00 4.460589172842856165e+00 2.880032786078191798e+00 2.110459751442873312e+04 0.000000000000000000e+00
7.086806190371301994e-01 6.048410178139332771e+01 1.616024037142023417e-01 7.316980371666226279e-01 9.466952077223960149e-01 4.012147911817606882e+00 2.074050731564384797e+00 1.193508771669304740e-02 4.583350544814626559e+00 7.453988370303893385e-01 9.285452607112424372e-01 2.110478567459292390e+04 0.000000000000000000e+00
6.080348576761498425e-01 6.331023641665855450e+01 4.732215555984615740e-01 1.653064375877157793e-02 5.760908768351173936e-01 2.038000965053843672e+01 9.952226722498521028e+00 3.735904177337741605e-01 3.661526773239968335e+00 6.111135485969639625e+00 3.708615570393734462e+00 2.110487801946964464e+04 0.000000000000000000e+00
1.813443603566465612e+00 6.520180816858545825e+01 5.780366784704922267e-01 -2.085680181637102060e-01 4.025257226447389591e-01 9.853314784723503195e+00 4.698537032263742752e+00 1.071353788842172028e-02 4.265568662630431440e+00 3.608986747751584678e-01 1.102726770809824508e+00 2.110489715313558918e+04 0.000000000000000000e+00
1.565443087180675930e+00 6.935771039605079125e+01 7.128309896495229614e-01 1.648726713094783303e-01 9.523843485804570075e-02 5.957720106562535811e+00 2.396209930796654231e+00 2.835693166087905892e-01 3.366521209611468723e+00 5.231262270754273302e+00 3.436914509778670190e+00 2.110499621233098151e+04 0.000000000000000000e+00
2.136853530697428116e+00 6.371679953471785751e+01 6.039401368415762139e-01 -2.992121040827320777e-01 7.141295543232907550e-02 9.713724793648202294e+00 4.793446158715640948e+00 8.063809419260223668e-03 5.544475026511491045e+00 1.844926219099015885e+00 1.256811225174403690e+00 2.110514596413348045e+04 0.000000000000000000e+00
1.399542820109721253e-01 6.523039241507915165e+01 6.429164021681851304e-01 2.307230122691765750e-01 9.288243372413158838e-02 7.686904168533691184e+00 3.565730016301227323e+00 8.826786656873315817e-02 6.155226036992615946e+00 2.180093388442637004e+00 5.112988401130762917e+00 2.110517382880792138e+04 0.000000000000000000e+00
2.731594280170184241e+00 6.882821796766708644e+01 5.987835250419852873e-01 5.667854355698117574e-01 5.167897509000195511e-01 3.971602959301647751e+00 1.831321388469125289e+00 1.841273446463309593e-01 5.568764198670325127e-01 2.664375158369408858e+00 6.002420651741546820e-01 2.110537481792674953e+04 0.000000000000000000e+00
2.353721367756363425e-01 6.734408265401788185e+01 5.806509325990003578e-01 5.242883010842284142e-01 4.672848555912743618e-01 4.910291276026208962e+00 1.512656083977701460e+00 2.058234326003587356e-01 5.784828914119235499e+00 1.810476157333443137e+00 5.364832061273987485e+00 2.110540831423952477e+04 0.000000000000000000e+00
