# psi Mf af cosiota Q A2220 A2221 A2330 phi2220 phi2221 phi2330 logL logPrior
1.394927944589869462e+00 6.753027956411418131e+01 6.588980366374952435e-01 6.276753794200942704e-02 2.098328271259523592e-01 7.934109667315714987e+00 4.845224588557926815e+00 2.118560811550815326e-01 3.046819322615188064e+00 5.443573925782750678e+00 2.510959440353366823e+00 2.135539182367339163e+04 0.000000000000000000e+00
7.880737214569479843e-01 6.749140553978848800e+01 6.537229303065075214e-01 2.609851929739679388e-01 2.513370740872509224e-01 9.747230365736401225e+00 6.373894332834325382e+00 2.679242623538153900e-01 3.615494037780150105e+00 5.931381576434189284e+00 3.455700750987866776e+00 2.135821942647439573e+04 0.000000000000000000e+00
2.604709453036325950e+00 6.786442095942308583e+01 5.359678280559924124e-01 -8.080976993361349558e-01 5.898335732259258890e-01 4.542751318505509062e+00 3.051327251571018362e+00 1.969527073290779362e-01 5.769581242910914121e+00 1.796262104792892833e+00 5.733304831932396262e+00 2.135986940950298595e+04 0.000000000000000000e+00
2.519644129069098515e+00 6.771747540227045192e+01 4.916908281556786053e-01 -1.868509115097111706e-01 6.621325976859927520e-01 8.620603563346843856e+00 5.559729716869676430e+00 1.994900309560977414e-01 5.960913912509620438e+00 2.048303212833229914e+00 5.591276416743128586e+00 2.136011947287949806e+04 0.000000000000000000e+00
1.025742188605162308e+00 6.622606335817633294e+01 5.210432048857565057e-01 -2.779086491533670489e-01 5.554858252075598468e-01 7.934133527786412898e+00 4.956417929874541883e+00 1.519416190358378049e-01 2.860839786728439638e+00 5.353335496671958182e+00 2.331305192826846007e+00 2.136012516218032397e+04 0.000000000000000000e+00
2.473358936864852975e+00 6.781107109818303513e+01 6.272143801027526555e-01 -2.687292143179755288e-01 3.512139060614866137e-01 8.421366030587504881e+00 5.036943224021328547e+00 2.496649038069426729e-01 5.846752672454951671e+00 1.924033326183932413e+00 5.331166180733400317e+00 2.136034542151241840e+04 0.000000000000000000e+00
2.551895682794856346e-01 6.650809390007658806e+01 4.525622015734976356e-01 7.755604636369962668e-01 6.955740113093079602e-01 4.933182100620178367e+00 3.348446022075657336e+00 1.554830971189558042e-01 5.028803149444485143e+00 1.096253365546615566e+00 4.683889249993455905e+00 2.136044981929724599e+04 0.000000000000000000e+00
1.474828292871809055e+00 6.671796953200207270e+01 4.836224737706298349e-01 4.007354354631018634e-01 6.464155540726949090e-01 7.018354909424268762e+00 4.476689144616257110e+00 1.564262113265681431e-01 2.739960816648871589e+00 5.113134060631835176e+00 2.411450866413825000e+00 2.136083336564381534e+04 0.000000000000000000e+00
2.515886957814308378e+00 6.734586718808066053e+01 6.160171309678028617e-01 -7.963752755007010853e-01 3.697980062546153412e-01 4.740247299378784085e+00 2.874365055673669289e+00 2.155309879963764608e-01 5.644751119096993008e+00 1.764508130388892759e+00 5.060491303687629561e+00 2.136114808336034548e+04 0.000000000000000000e+00
1.181306616118865671e-01 6.674438067941281361e+01 5.618738890252840124e-01 1.886723928719986065e-01 4.785203904927055607e-01 1.086380822307557992e+01 6.526408734978405235e+00 2.487114769148966731e-01 5.829578821054793636e+00 2.002176290091530753e+00 5.212147386706235785e+00 2.136119048634849241e+04 0.000000000000000000e+00
1.205206392530851156e+00 6.648929158735911926e+01 4.592528272264919664e-01 3.669710926659016104e-01 6.814377887605300721e-01 6.871137134101566346e+00 4.410682361844827426e+00 1.156370430751629402e-01 3.126607315912766083e+00 5.554038034872449181e+00 2.626835968765995677e+00 2.136122361088261459e+04 0.000000000000000000e+00
4.434994436426546727e-02 6.654184946999016859e+01 4.462189145534688484e-01 2.431891700955311209e-01 6.936146621007196478e-01 9.217988997400642148e+00 5.396673157600490711e+00 2.012470467918444916e-01 5.873196363728694358e+00 2.080270354895393137e+00 5.091461023463527802e+00 2.136131904010042490e+04 0.000000000000000000e+00
1.191143364377908798e+00 6.753873747615709533e+01 5.626323875719814183e-01 -2.135462914565831039e-01 5.102985806764132048e-01 7.355925843837397338e+00 4.393071260847989379e+00 1.864774853371262420e-01 3.058637555204839931e+00 5.448535252516101934e+00 2.489046535511724834e+00 2.136149715302902405e+04 0.000000000000000000e+00
8.197673082306473624e-01 6.608544458730226268e+01 5.079609801683737658e-01 8.395045994911989329e-01 5.842475078207878258e-01 4.726922732701394736e+00 3.044820484545110784e+00 1.649717926804441792e-01 3.917445921850223556e+00 9.112634278419062817e-02 3.195823680007973344e+00 2.136155007221582491e+04 0.000000000000000000e+00
8.640290353132695778e-01 6.610573494974082109e+01 6.408447532420287196e-01 1.258746909040988626e-01 1.152687667613128686e-01 1.035305850178881037e+01 6.418319065389800571e+00 1.948150592444966023e-01 3.326915040770456411e+00 5.765919867312368829e+00 2.659843557600083841e+00 2.136159454013458890e+04 0.000000000000000000e+00
9.585914061868260339e-01 6.750020476430688632e+01 5.500393926234553588e-01 3.209851126561329426e-01 5.473042774908642993e-01 7.618979423600314327e+00 4.920885373219530123e+00 1.812266007244203447e-01 3.418926209249654402e+00 5.764252132500665482e+00 3.210423853252376336e+00 2.136169231619553830e+04 0.000000000000000000e+00
9.621053385068121244e-01 6.771004323026191685e+01 6.708538541428892277e-01 -2.726680693662230856e-02 1.702220359197291755e-01 8.930194869234588495e+00 5.805047535254676205e+00 2.174401486557006047e-01 3.019216854008548001e+00 5.360774549333195971e+00 2.892738278822628128e+00 2.136170067422135253e+04 0.000000000000000000e+00
2.040921632403617014e+00 6.552442888833759582e+01 3.828267509179419381e-01 -3.075673690677033778e-01 7.661086976254766201e-01 1.276587826839416984e+01 7.878270244698360791e+00 3.062138762934875635e-01 4.698123966904741877e+00 8.506423834140888207e-01 4.118567057362089834e+00 2.136184280033993491e+04 0.000000000000000000e+00
6.460049308459581141e-01 6.689225819999656153e+01 6.393674410067784475e-01 -5.606224474403295188e-01 2.566237044296812431e-01 6.779097224909182984e+00 4.517052674639859156e+00 1.626355372518690501e-01 1.919022443732618433e+00 4.317602562722841597e+00 1.619059038958961638e+00 2.136184333421978954e+04 0.000000000000000000e+00
1.531968137580497769e-01 6.620616712815403559e+01 5.904288939746917819e-01 -9.020346558941230164e-01 3.918733085993785226e-01 4.413081091048674409e+00 2.892675290519499676e+00 1.432185291004245686e-01 8.789018265810375485e-01 3.337522964245307477e+00 3.404923309362282713e-01 2.136186451897848747e+04 0.000000000000000000e+00
8.793110901768077525e-01 6.760291313833666038e+01 6.532475567524294036e-01 6.322721943776811182e-01 2.449896479759065826e-01 5.631387681685192881e+00 3.510745270277844998e+00 1.804876690251880078e-01 3.755664798252739800e+00 6.100508495362563899e+00 3.184410301853125347e+00 2.136201833927519328e+04 0.000000000000000000e+00
8.853093542247213454e-01 6.766214791117819516e+01 5.322469769952502539e-01 1.687145936282136438e-01 5.834783958986931030e-01 9.465370352739919113e+00 5.979781826232207997e+00 2.268821247215773163e-01 3.356693387168892873e+00 5.706037016477949031e+00 3.094333730606042554e+00 2.136209359863104692e+04 0.000000000000000000e+00
1.963084649289552619e+00 6.724287062509755231e+01 6.477107918348375959e-01 -3.167954121512620569e-01 2.383842975830408606e-01 1.189788839425790812e+01 7.318723143641476803e+00 2.613932273668306827e-01 4.420694782446130233e+00 5.630741768444600392e-01 3.705436773756277447e+00 2.136215278241284250e+04 0.000000000000000000e+00
1.519423068432443236e+00 6.726332461225830173e+01 5.686021581977912520e-01 -1.118321157482549122e-01 4.943808529777155014e-01 8.802953172331466902e+00 5.447423003175487999e+00 2.467209336063657388e-01 3.219563858381726540e+00 5.611128064863724063e+00 2.865666530651849175e+00 2.136235699849898447e+04 0.000000000000000000e+00
5.938833321733081316e-01 6.720805695348052211e+01 5.700358016855590071e-01 3.060470814540262041e-01 4.783930759696072288e-01 1.173948732285984597e+01 6.939760553763419715e+00 2.577516282585393670e-01 4.228567556452557774e+00 3.912521017421676794e-01 3.720513252052125797e+00 2.136241962253081510e+04 0.000000000000000000e+00
1.757328014240491010e+00 6.616157055914951002e+01 6.047640484921079640e-01 6.356526756131080091e-01 3.400814175932129202e-01 6.036943059487359875e+00 3.982143587741301616e+00 1.130285469203325677e-01 2.084701364572874027e+00 4.510028566946179929e+00 1.648970963249050792e+00 2.136242869725970741e+04 0.000000000000000000e+00
1.657150849952982341e+00 6.714263585836629034e+01 4.940707714113544702e-01 1.555152582269263561e-01 6.322922800913916008e-01 1.060219867332316568e+01 6.427787298776995506e+00 2.308903298682860039e-01 2.794054077102804179e+00 5.257140170631114273e+00 2.197076585347134792e+00 2.136252123178020338e+04 0.000000000000000000e+00
4.614710867272008854e-01 6.655103615356173918e+01 6.409676625564032504e-01 5.747227324839619955e-01 2.198652614954298146e-01 6.800828334946257492e+00 4.619678639348697935e+00 1.312448228318572607e-01 4.613729340953708125e+00 7.307916291333300673e-01 4.490994685260225161e+00 2.136255256265001299e+04 0.000000000000000000e+00
6.389598253874250178e-01 6.627374056096435595e+01 6.284908158334154837e-01 8.870278375658996461e-01 2.561233145691028112e-01 4.478396079821354014e+00 2.971814424820607314e+00 1.423488167711423891e-01 4.270078909437343029e+00 4.354993944426023833e-01 3.523154057520256899e+00 2.136255728860624004e+04 0.000000000000000000e+00
7.734118467093675786e-01 6.688088479773114159e+01 6.156095225906496049e-01 6.367989312279911385e-01 3.510741115011766778e-01 5.902842261283097081e+00 3.883758957747625917e+00 9.185600657146046621e-02 3.955277974025574128e+00 9.588544397726495028e-02 3.406927364229583866e+00 2.136258899281180493e+04 0.000000000000000000e+00
9.868525028597960880e-01 6.709020099836975248e+01 4.483480434898046707e-01 -8.149645150608983979e-01 7.101401231981806506e-01 4.583899164188641961e+00 2.945016364971444478e+00 2.034366150385824579e-01 2.566184979997366167e+00 4.912169075185564004e+00 2.393253536715148844e+00 2.136266842307977640e+04 0.000000000000000000e+00
1.770301265361374110e+00 6.613372566096298044e+01 6.039025468469048086e-01 -3.059926874650712447e-01 3.210329985426954025e-01 1.042630815388485388e+01 6.296274172624533705e+00 2.583928562589348221e-01 3.882772246517664616e+00 8.022843738600270169e-02 3.012166674932656552e+00 2.136279319861204931e+04 0.000000000000000000e+00
8.442260218204784561e-01 6.510977470209637374e+01 3.220535272827429463e-01 6.690989802973420497e-01 8.384620159312780041e-01 5.539658734707797905e+00 3.567491764790866604e+00 1.743235707511485988e-01 3.829640796168427563e+00 6.220918306732396097e+00 3.433532718042234144e+00 2.136280170675545378e+04 0.000000000000000000e+00
8.997790083114934889e-01 6.564845762624322845e+01 4.056675859384673011e-01 -2.469671913507895944e-01 7.428759899706168790e-01 9.019073720178331754e+00 5.957027460428397703e+00 1.749134053683050471e-01 2.686085012391731031e+00 5.099801115150542685e+00 2.174488576403472706e+00 2.136283133223918048e+04 0.000000000000000000e+00
2.405233426049918855e+00 6.658646509136254110e+01 6.441373087358847060e-01 6.059131181156630630e-01 1.867366049184294718e-01 6.131493745213928648e+00 3.965713178842943609e+00 1.087828911866326187e-01 6.956146284302173743e-01 3.152504388735944296e+00 6.252652212460352743e+00 2.136288179449950258e+04 0.000000000000000000e+00
7.427440917774618123e-01 6.794929938848854079e+01 5.963545490014008355e-01 7.227139940981439636e-01 4.645339324820113025e-01 5.121762919881089005e+00 3.421579157274631466e+00 1.571367444212265208e-01 4.022681713298704054e+00 5.631007336627343735e-02 3.848085435200566895e+00 2.136288605716442908e+04 0.000000000000000000e+00
9.891560611368688249e-01 6.663522604263988569e+01 6.126379872418182826e-01 -6.467812078164626444e-01 3.399639553105010537e-01 5.631961925669660474e+00 3.649465182283377462e+00 1.428050926539203291e-01 2.597797941577143721e+00 5.028088494410900111e+00 1.909793673849518036e+00 2.136300179153620411e+04 0.000000000000000000e+00
9.581511749207419770e-01 6.811733992358560386e+01 6.153205749497118182e-01 3.139694389333115843e-01 4.131382652208877571e-01 7.677764111273442715e+00 4.799279553048227953e+00 1.659496948908248393e-01 3.431864934194502226e+00 5.804069080858277552e+00 3.029525510536776434e+00 2.136303838130387885e+04 0.000000000000000000e+00
2.013298523640779880e+00 6.748563170017145296e+01 6.728759615705569574e-01 8.532946036405923973e-01 1.034269552827495331e-01 4.403267334085433582e+00 2.796821673990184554e+00 2.261813964607539973e-01 1.531888124562865494e+00 3.846906670855828381e+00 1.255234996209534382e+00 2.136306433113482854e+04 0.000000000000000000e+00
1.553822103666827825e+00 6.763793872581894107e+01 6.454083126068808074e-01 -5.571927303630668238e-01 2.968949204905341199e-01 6.114613336373557750e+00 4.008482142716264462e+00 1.542719493470434411e-01 3.596353174912944706e+00 5.973563837724759296e+00 3.363178787970958705e+00 2.136316940690047340e+04 0.000000000000000000e+00
2.512047099833167429e+00 6.723640169113193110e+01 6.407384251715884105e-01 -8.606247494499837947e-01 2.518741641452668101e-01 4.437413747155302346e+00 2.668830718212073183e+00 2.039777585360357803e-01 5.650085698865891182e+00 1.783685524793292787e+00 5.270549733080660104e+00 2.136323130378180940e+04 0.000000000000000000e+00
6.708734065802159918e-01 6.627426156047943095e+01 6.461854301798184430e-01 6.991642180871467938e-01 1.417297129180187729e-02 5.569295307973564313e+00 3.270052393382442801e+00 1.625815632979301095e-01 4.253659688873887568e+00 4.778222508110129829e-01 3.434889888748255959e+00 2.136333793110932311e+04 0.000000000000000000e+00
