# psi Mf af cosiota Q A2220 A2221 A2330 phi2220 phi2221 phi2330 logL logPrior
2.401127086361234397e+00 6.441841228927781060e+01 3.418144263264933924e-01 4.507975400664142596e-01 8.040004583266011640e-01 8.470366549992006000e+00 7.603234280750369223e+00 3.705016442902779872e-01 2.089716827632221163e-01 2.572853941704190905e+00 2.206507394084798346e+00 2.131012878221062419e+04 0.000000000000000000e+00
2.953433195867974703e+00 6.659516000969111360e+01 6.593180078631631913e-01 8.581629567729411878e-01 8.622262682352788143e-02 4.904618029081683872e+00 4.175025529875125763e+00 3.537258568868592024e-01 5.551247953924859146e+00 1.602225514165979581e+00 1.329903476879117807e+00 2.131073765877383630e+04 0.000000000000000000e+00
1.109055706819550569e-01 6.657747770624237660e+01 6.337964455507359984e-01 -4.444485555465284565e-01 2.714567610147713972e-01 8.333762215104078663e+00 7.325215631891215828e+00 4.071859977196978786e-01 2.502276628406855385e-01 2.584557935251957872e+00 2.130498557186412789e+00 2.131094161918470490e+04 0.000000000000000000e+00
2.416606782593198055e+00 6.550188822620818030e+01 4.643682673773416592e-01 8.716207769999323451e-01 6.562540465550559254e-01 5.004942918991717171e+00 4.631098334984733889e+00 4.349073524518432543e-01 2.868297871529035814e-01 2.631838020554148283e+00 2.265411846889353154e+00 2.131240427257924966e+04 0.000000000000000000e+00
2.228435341700921057e+00 6.568720187285900636e+01 3.812297571964248788e-01 4.095690282680502503e-01 7.811586226322384530e-01 9.642573163390222746e+00 8.671487871708240647e+00 3.838204413858964381e-01 5.456521193333517816e-01 2.827856936090560325e+00 2.334125931613314275e+00 2.131241302687488133e+04 0.000000000000000000e+00
1.899234407813618519e+00 6.696542223966986285e+01 6.662411400464990363e-01 7.025154264573554297e-01 1.076971936164702881e-01 5.951819921948367842e+00 5.240853837871719989e+00 3.342296045689563400e-01 1.375683743855844021e+00 3.677324049329651512e+00 3.221316723856713971e+00 2.131291275100590065e+04 0.000000000000000000e+00
2.298544880985858185e+00 6.672245260616330143e+01 6.654959668754918400e-01 -7.881051516268225976e-01 5.357238187063670387e-02 5.327057531706389959e+00 4.721394679280195739e+00 3.183383389798336016e-01 4.772906568852916642e+00 7.882625604942747888e-01 2.970873701981091020e-01 2.131293904785947234e+04 0.000000000000000000e+00
8.160472277718763268e-01 6.599808791399424024e+01 6.589443327629397329e-01 -4.949687977291092333e-01 2.018145037514034942e-02 7.726614758529501970e+00 7.303795620680775258e+00 3.865500096580370970e-01 1.873758797867911774e+00 4.180843638574081034e+00 3.690490104105202729e+00 2.131302281116396261e+04 0.000000000000000000e+00
8.630357839326913139e-01 6.555485944412960464e+01 5.197018184141122266e-01 -3.100489668949080735e-01 5.522137305629035708e-01 9.777611321526105570e+00 9.020296499322450146e+00 4.229891955970517259e-01 2.145563282478455847e+00 4.485272692024477870e+00 4.109831425988734743e+00 2.131324537603980571e+04 0.000000000000000000e+00
2.439539715048121504e+00 6.330024235137421584e+01 2.217519998740462017e-01 -5.604326572848159493e-01 9.228923040879138950e-01 6.739429967158710788e+00 6.022321340365738074e+00 3.439523500161914549e-01 5.122289601700591000e+00 1.112797273544723131e+00 5.082605558182908823e-01 2.131334914227243280e+04 0.000000000000000000e+00
2.125084091343367731e+00 6.508732970494709491e+01 3.926475143582333627e-01 -6.495353482142673940e-01 7.507688079340865128e-01 6.774521143000383105e+00 6.011403205171211184e+00 3.459001275329462999e-01 4.439640019639418789e+00 5.198796606934419362e-01 2.401068701353933077e-01 2.131346090203974381e+04 0.000000000000000000e+00
1.779547566976493522e+00 6.684720060697591748e+01 5.423627182477642750e-01 9.423857180020367430e-01 5.433253706302362263e-01 4.491257399465902189e+00 3.898004824440896687e+00 5.213101402180502220e-01 1.604743943428907693e+00 3.909065333515078233e+00 3.409893367752077964e+00 2.131360955340949295e+04 0.000000000000000000e+00
1.242954542835168763e-01 6.526009888664243874e+01 6.312845688820238887e-01 9.060681638591689957e-01 1.378254400341491492e-01 4.846458475688572243e+00 4.397369627587545793e+00 4.472065940083628233e-01 4.895632773574966734e+00 9.615995892720363702e-01 6.112365416710651145e-01 2.131388745398938408e+04 0.000000000000000000e+00
1.399210230591115378e+00 6.617966461777946563e+01 6.081746525180280472e-01 -5.420596467461077372e-01 3.386113002131360683e-01 6.779172737141175631e+00 6.013808868685715403e+00 3.134889513636429648e-01 2.922350046191720896e+00 5.244679481429913359e+00 4.859350653571759437e+00 2.131416443411172804e+04 0.000000000000000000e+00
2.228428706937646275e-01 6.673704320294076808e+01 6.562142246339397467e-01 -6.905925052165321487e-01 1.752925191100858371e-01 6.039159974001176323e+00 5.570212653896300381e+00 3.388141379277068710e-01 5.630985836198409977e-01 2.858475654541559052e+00 2.319497446822075926e+00 2.131422533629874670e+04 0.000000000000000000e+00
2.446469345639755932e+00 6.490884899917409712e+01 3.578615369508987842e-01 8.110862025643107431e-01 7.939912767964524276e-01 5.311928384864690322e+00 4.762176479112260274e+00 4.041269285303886183e-01 2.491749181416153258e-01 2.591566588713873465e+00 2.180502431065249880e+00 2.131426250000286018e+04 0.000000000000000000e+00
1.067713287657367172e+00 6.661715894730339471e+01 5.600467914964439853e-01 2.461646015020270695e-01 4.915667680753200153e-01 8.503501931062922736e+00 7.022187261606016584e+00 2.941737904358412425e-01 2.871196595631397397e+00 5.220910229133012947e+00 4.861959363698073133e+00 2.131433087963418802e+04 0.000000000000000000e+00
1.583436677451328212e+00 6.301610924598898578e+01 2.193918602323188527e-01 2.050346653175152967e-01 9.231040908037648762e-01 9.941115833091416221e+00 9.118548599300355662e+00 3.954532618113853482e-01 2.334586149626074469e+00 4.636386963251346138e+00 4.155700278745491971e+00 2.131441010896445005e+04 0.000000000000000000e+00
1.717331362805605943e+00 6.606916174055773183e+01 5.442619248550371047e-01 4.471963939670525745e-01 5.055808115137193637e-01 8.563410586461884577e+00 7.232480961371708261e+00 3.284888156745726095e-01 1.896371595385847320e+00 4.235542191703974169e+00 3.797631530113812381e+00 2.131441113289384884e+04 0.000000000000000000e+00
