# psi Mf af cosiota Q A2220 A2221 A2330 phi2220 phi2221 phi2330 logL logPrior
2.181919459692286622e+00 6.482186484301490736e+01 3.670739532917742798e-01 -3.774872336333510991e-02 7.657741138384412949e-01 1.891083797979989001e+01 7.040481399931561413e+00 2.765457705284560808e-01 3.156116378174121384e-01 3.012849203286530830e+00 5.660853080163587236e+00 2.112839095720706973e+04 0.000000000000000000e+00
2.690164202389320636e+00 6.585817374326471452e+01 5.280243940955406945e-01 -5.496886082448804167e-01 5.601966089465091336e-01 4.426152318526083818e+00 2.103761146207505206e+00 1.364397129468715095e-02 1.925277400481266721e-01 2.585598332858801029e+00 5.089275057677602021e+00 2.112886659426175902e+04 0.000000000000000000e+00
1.525410956727557332e+00 6.899086573711421977e+01 6.027381530035699209e-01 -5.944506815156646445e-02 5.198822848697445265e-01 5.978934465333018977e+00 3.150755385829119959e+00 1.907736758726725768e-01 3.573619657306009501e+00 5.695245458983896114e+00 4.336042529470388374e+00 2.112989147607587802e+04 0.000000000000000000e+00
3.114409082991649758e+00 6.304814470165727869e+01 2.533487369720073268e-01 -3.257745824214560160e-01 8.903813562697828754e-01 5.725483345128397517e+00 2.652417572685198177e+00 5.136922764415555176e-02 8.203564165949901454e-01 3.230982467146072068e+00 1.605614637732277528e+00 2.113056633979852631e+04 0.000000000000000000e+00
1.370532113548268205e+00 6.768857879870445515e+01 5.030487555578190273e-01 3.264840683744000271e-01 6.678675790922797839e-01 4.897864092134970093e+00 2.656827048940410219e+00 1.203554929622032421e-01 3.344489537818363001e+00 5.479733267843357680e+00 3.788912580153289689e+00 2.113116667424850311e+04 0.000000000000000000e+00
4.060601592593853781e-01 6.525433593801400889e+01 6.127969365200724994e-01 -4.898896682323178875e-01 2.344689318725887983e-01 5.663292635226399696e+00 2.127615077551792133e+00 1.954667416062711438e-01 1.942913850868229542e+00 4.272636206582147267e+00 1.707327026736536579e+00 2.113131158344076175e+04 0.000000000000000000e+00
2.275199208848989851e+00 6.479661196847290228e+01 6.171578581524898022e-01 -1.589774557984463821e-01 2.087175090943858280e-01 1.067693795121111044e+01 5.269575328579630735e+00 3.277374585507071211e-03 6.184486332543476905e+00 2.456591091202724453e+00 3.334070913967441818e+00 2.113139141936666056e+04 0.000000000000000000e+00
2.310892026371504038e+00 6.481814963796043116e+01 6.273136273237833738e-01 -2.390427223819924507e-01 1.403894072037142893e-01 8.449409859352904562e+00 3.880026476727386431e+00 5.556515978615041845e-02 6.108191468772639965e+00 2.324531939515630530e+00 5.423382354190767529e+00 2.113159438664347908e+04 0.000000000000000000e+00
1.567491741962451002e+00 6.717889599577073056e+01 5.581125646265212570e-01 -5.286443563630967013e-01 5.210242433777317883e-01 4.557732985722587671e+00 1.737955983238369750e+00 1.523067929331500259e-01 4.163093799976266496e+00 1.430325922192219601e-01 4.003758663676772578e+00 2.113166095167373351e+04 0.000000000000000000e+00
2.170101729336197938e+00 6.803989377700359853e+01 5.116663298174889407e-01 -1.020711129305167456e-02 6.587635022613548275e-01 1.816917943008542480e+01 8.868820594006935565e+00 7.604705665915514334e-01 3.144603476976272072e-01 2.196097318130831866e+00 3.062745445273244438e-01 2.113169421077446532e+04 0.000000000000000000e+00
1.316024733549500780e+00 6.422644325815191735e+01 5.950964588542039246e-01 -2.902927622357279747e-01 2.315113565664903006e-01 5.592424717315540583e+00 2.677645126885526139e+00 9.611906583033663588e-04 3.688200853186814676e+00 4.656619421139723131e-02 7.371800042104040829e-01 2.113195538855889026e+04 0.000000000000000000e+00
6.013851319805096907e-01 6.641142047496849443e+01 6.436588750952957350e-01 -2.051530260617243917e-01 1.739794995956590595e-01 1.103786230730196927e+01 4.283994197101402612e+00 1.841282792649666378e-01 2.687163291830288347e+00 4.968994382343197458e+00 2.872010847308488657e+00 2.113197163583412839e+04 0.000000000000000000e+00
7.539426730882045069e-01 6.500666586630869404e+01 5.490140163178378607e-01 -1.544079773830074331e-01 4.808095992987750367e-01 9.426834341288067520e+00 4.591005737364201700e+00 5.119110193374536155e-02 3.123558202154482100e+00 5.597172235705856203e+00 2.591612631267221634e+00 2.113203259649054235e+04 0.000000000000000000e+00
2.134049022836717602e-01 6.821596897090340406e+01 6.910320400546485775e-01 -6.365937971920042626e-01 1.392977614268583464e-01 3.868975200886419330e+00 1.952081544575237304e+00 1.700170307577360818e-01 1.420781969785596122e+00 3.320070634308674773e+00 1.556125105013091536e+00 2.113205580597862718e+04 0.000000000000000000e+00
3.381832085226797457e-01 6.631197938894976573e+01 5.902717507365057292e-01 -4.605651098966310752e-01 4.244594407324643881e-01 5.862844346302172660e+00 2.860662378440924858e+00 1.488355947658807354e-01 1.648607928883660367e+00 3.786660336530616622e+00 1.956407546663998520e+00 2.113211230187358524e+04 0.000000000000000000e+00
1.289866278491185403e+00 6.849650820531473983e+01 5.969458350908539712e-01 -6.321457666711152168e-01 4.803033402791542228e-01 3.848887669873388706e+00 1.426063933273566731e+00 1.622686285783535576e-01 3.722230198841965265e+00 6.007953192359156702e+00 3.552245667391749961e+00 2.113230569794006442e+04 0.000000000000000000e+00
5.366036405001465281e-01 6.733432094161545933e+01 4.239110776314913842e-01 1.460290637116520018e-01 7.627790843625116279e-01 1.605703561908247679e+01 7.717028191204244436e+00 4.993228663895609709e-01 4.637743196420222702e+00 5.694458179521375563e-01 5.068708031056966767e+00 2.113235787553248156e+04 0.000000000000000000e+00
2.132319615177831196e+00 6.628418116101651947e+01 5.845929943101582094e-01 -3.216280013584401076e-01 4.353009021437611037e-01 8.189905893916145985e+00 4.027537151287607031e+00 1.453912278918431111e-01 5.458776372977826696e+00 1.402632376731430597e+00 5.972784463481902506e+00 2.113252529730829701e+04 0.000000000000000000e+00
5.051413541348259706e-01 6.673990153924982849e+01 6.816519977827553145e-01 -1.225349480497145427e-01 7.848807999801260538e-02 2.075118182516719401e+01 1.220894644028111031e+01 5.602028157030852773e-01 2.248866359448063790e+00 4.418388858057368473e+00 3.249110512627891634e+00 2.113255601073041908e+04 0.000000000000000000e+00
6.778908983475205596e-02 6.703099271161482875e+01 6.553544739150644061e-01 8.210634873518338761e-01 1.083189932433964303e-01 3.275703868616790970e+00 9.447907805394337721e-01 1.586757789084438097e-01 6.077487805012435906e+00 2.266051313343378393e+00 5.710221464573363548e+00 2.113285879894309619e+04 0.000000000000000000e+00
1.664709521560698402e+00 6.472790886017341450e+01 5.535403085793392242e-01 4.874291628752643879e-01 4.427948237513875673e-01 5.439696455963023425e+00 2.718361178913666354e+00 3.425264404949428937e-02 2.857986511692124143e+00 5.421621427551944095e+00 4.090671424535980094e+00 2.113302804475837547e+04 0.000000000000000000e+00
3.476823434118596623e-01 6.286200147144439399e+01 2.452661428134200461e-01 1.010682702139125699e-01 8.892181138273455021e-01 1.939843530195105714e+01 7.933847624278022259e+00 1.745889683946113824e-01 6.049774642516326573e+00 2.345702967036322306e+00 5.220428686227165826e+00 2.113311289833448973e+04 0.000000000000000000e+00
1.561565639112382664e+00 6.497248777104300643e+01 5.011926296402534620e-01 -7.816160038825366030e-01 5.606744208883918112e-01 3.622521367253446201e+00 1.563129170059832429e+00 9.018673722245715285e-02 4.240740594783920514e+00 4.871328775593862237e-01 3.680280667765474689e+00 2.113315235402814506e+04 0.000000000000000000e+00
1.877329811700581441e+00 6.760019887559576546e+01 5.542781940484245995e-01 4.148666965692557329e-02 5.705022163531118240e-01 1.728431042865210188e+01 9.290178843546627263e+00 4.350126443613133720e-01 3.237795858732921861e+00 5.458411498865055833e+00 4.274457926745616199e+00 2.113316698856810763e+04 0.000000000000000000e+00
2.254923901755308879e+00 6.434935013624608757e+01 5.624972854247977105e-01 1.795499523714641221e-01 3.654995436500104722e-01 1.099952551684740243e+01 5.325292504136340810e+00 8.019463308877827767e-02 1.112750217892384486e+00 3.778847078933560866e+00 1.446031840801099699e+00 2.113319105421586937e+04 0.000000000000000000e+00
1.794280747597002179e+00 6.675059690199745432e+01 5.240673694852191478e-01 1.612688423781672431e-01 5.847528295313414448e-01 1.029943126495004257e+01 4.603587434611466911e+00 8.181543712551873904e-02 3.032738758378088040e+00 5.487033075624544232e+00 3.477547000720296655e+00 2.113325413580924578e+04 0.000000000000000000e+00
1.817493534571408942e+00 6.401849153967785355e+01 3.684261413759182258e-01 2.297049204949925816e-01 7.575259705670827071e-01 9.928939422910946888e+00 4.680256181843942542e+00 5.703299597948130462e-02 2.847787383682280460e+00 5.456989396885981947e+00 2.023256821412261708e+00 2.113327370447984867e+04 0.000000000000000000e+00
1.698882750567486166e+00 6.710359387749727489e+01 5.714849214184494208e-01 -1.584304326199892088e-01 5.121699688049213828e-01 8.001560576004921543e+00 3.280231798626703110e+00 2.250851299800489258e-01 3.946792420763848952e+00 6.126202151422758924e+00 3.418985628496677531e+00 2.113329379599355889e+04 0.000000000000000000e+00
2.209073422722132474e+00 6.237168559460892681e+01 2.210557043380783071e-01 -6.353981789355107185e-03 9.091257465840560936e-01 1.676542576608830970e+01 7.648862646108177010e+00 2.353759603237012138e-02 4.333591767090759772e-01 3.031216205417857079e+00 2.133094734463980291e-01 2.113330298945828326e+04 0.000000000000000000e+00
1.084575731789289676e+00 6.522834382987024071e+01 6.279175144513226003e-01 -1.877656180470040070e-01 1.884133657278186935e-01 5.939075777709968307e+00 2.875688300988184842e+00 2.610117515301942082e-02 3.469899363653340174e+00 6.024468268560337236e+00 3.695658445698788430e+00 2.113330507611572830e+04 0.000000000000000000e+00
9.251691009240423647e-01 6.880486158070500835e+01 6.527029748222586969e-01 -9.500544436876430521e-02 3.754612211605379279e-01 6.225262341852493719e+00 2.788076257697169602e+00 1.965551182743513758e-01 3.416584400644306019e+00 5.378621988575372548e+00 3.817529796141299947e+00 2.113338160248429995e+04 0.000000000000000000e+00
1.748835896090535691e+00 6.467843559319318558e+01 3.424215412494502342e-01 9.011273264679857675e-01 8.181221612270392907e-01 3.044184991375030069e+00 1.519936706322848607e+00 1.224636565692398538e-01 2.515463713156860681e+00 4.669177912114646389e+00 2.682455068382148866e+00 2.113343491550772160e+04 0.000000000000000000e+00
1.999368854959969966e+00 6.559484917855193942e+01 5.375148405783481964e-01 2.143958682670954186e-01 5.042541697912181764e-01 1.349509126401423842e+01 5.934737266786651588e+00 2.106028405721707408e-01 2.205360253985468422e+00 4.803361746343512984e+00 1.853802444442139485e+00 2.113346719551639399e+04 0.000000000000000000e+00
6.261388194438064492e-01 6.442871061315501890e+01 4.549057174366264999e-01 -5.238246910336603890e-02 6.180241838714320979e-01 1.757948191834525886e+01 7.419347347875870469e+00 3.384464813010455986e-01 3.372625673096355303e+00 6.016932758508160006e+00 3.012048751396994906e+00 2.113347247012524895e+04 0.000000000000000000e+00
1.448967298697615702e-01 6.630966771481273270e+01 5.164719000649916625e-01 4.594291284418439147e-02 5.764675784003895354e-01 9.207294108971364466e+00 3.530554096899732208e+00 1.913499701971870248e-01 3.655886933453599275e-01 2.606463507288338199e+00 2.255449770452283009e-01 2.113349710146228244e+04 0.000000000000000000e+00
1.810208290341398296e+00 6.536342240993256780e+01 4.394836018882474771e-01 -1.411793192182946299e-01 7.069807133791843334e-01 1.118744157274407947e+01 6.253014223834234109e+00 2.119021946956959057e-01 4.020976250027690213e+00 6.271605358565639499e+00 4.645190429362626716e+00 2.113359532864205539e+04 0.000000000000000000e+00
8.871702091291124859e-01 6.478081835286975831e+01 5.344060805609319731e-01 -6.248867140848605312e-03 4.680063980514113653e-01 7.864150422742865132e+00 3.555233364833538356e+00 8.493304425100785260e-02 3.635878810192275434e+00 4.920517764200609163e-03 4.277076088987248781e+00 2.113364225252387405e+04 0.000000000000000000e+00
2.229546078141125598e+00 6.639755581538432239e+01 6.637984608715279400e-01 3.193917078430224543e-01 4.026159282457714150e-02 7.642023134802450102e+00 2.993137058241766457e+00 2.165912054337594816e-01 1.407252567443570967e+00 3.776821055043472430e+00 1.429689344726170264e+00 2.113370548126171707e+04 0.000000000000000000e+00
2.101585891969186548e+00 6.619532842995225508e+01 6.028503028449888612e-01 -1.190788406668569083e-01 3.680045503526194750e-01 2.034180769784842369e+01 8.242553075313027833e+00 3.289782979723166467e-01 5.718090641277646213e+00 1.829585330518203712e+00 4.856179929921058402e+00 2.113372786451652428e+04 0.000000000000000000e+00
2.011810970634048346e+00 6.702197675871127558e+01 5.620557404079632446e-01 2.292286371907074904e-01 5.088674656235466776e-01 1.153528640205223255e+01 4.583033577816752135e+00 4.080622115978849163e-01 2.116171040057169161e+00 4.147166042375078021e+00 1.815215922811989957e+00 2.113373590933560990e+04 0.000000000000000000e+00
4.130110280582627302e-01 6.555082564397915235e+01 6.350561145447002342e-01 -3.377622909811586749e-01 1.147169562332319287e-01 8.041889830946416851e+00 3.278299159347937586e+00 3.555255379659080228e-01 1.888240536627863175e+00 4.030859866849366924e+00 1.893449495683168005e+00 2.113378824241094480e+04 0.000000000000000000e+00
6.183874632584264175e-01 6.489775460942902896e+01 4.609205627756616797e-01 -4.984214959374953097e-02 6.373710662555521766e-01 1.812023295611309948e+01 7.548467153697303367e+00 4.099548953638307291e-01 3.338213907116458934e+00 5.899983980049897880e+00 2.686893134392209781e+00 2.113382695709460313e+04 0.000000000000000000e+00
7.050663734419456707e-01 6.844094125772016923e+01 5.779863547317390937e-01 1.164645654754874193e-01 5.448434984530677871e-01 9.960492592871428741e+00 4.738373580885321346e+00 1.689262575514907383e-01 3.936926506155047356e+00 6.019611091783639623e+00 4.083067501464305415e+00 2.113385619059802775e+04 0.000000000000000000e+00
5.391948984848636828e-01 6.659366779644369672e+01 5.799475025047613475e-01 -6.957368203137194451e-02 4.944678252465903867e-01 2.577160347780947802e+01 1.457135239574887287e+01 7.755694233357135481e-01 2.743734252051284628e+00 4.842831343060412408e+00 3.088978110684962086e+00 2.113396070308768685e+04 0.000000000000000000e+00
1.808663667300349776e+00 6.819999915548429215e+01 4.281957651256257380e-01 -7.340526102534297159e-01 7.793672580507172709e-01 3.447428243139921022e+00 1.738766577856921902e+00 1.499033691808490665e-01 4.617797476575256965e+00 3.719250759385603899e-01 5.214195460817055761e+00 2.113397022257770004e+04 0.000000000000000000e+00
1.845810759503244025e+00 6.388485800858551045e+01 3.006825140340879110e-01 -1.289499694008953146e-01 8.315751151142873887e-01 1.303626956286253957e+01 4.538197742455770012e+00 4.041766138852638246e-01 4.277534006134238176e+00 5.758004656350058648e-01 3.809956019897991819e+00 2.113397164943417374e+04 0.000000000000000000e+00
