# psi Mf af cosiota Q A2220 A2221 A2330 phi2220 phi2221 phi2330 logL logPrior
1.983430855361121958e+00 6.488567578865124119e+01 6.354239659128962936e-01 -5.178273438870548695e-01 8.324154630573409042e-02 5.555610672758465540e+00 2.918570177727407344e+00 2.741307481785304478e-01 4.970285785838584047e+00 9.265994083826628591e-01 9.937586128431493693e-01 2.137265270862446778e+04 0.000000000000000000e+00
2.670601809189334208e+00 6.248723378142872775e+01 2.305421092446258424e-01 5.124428492831065718e-01 9.017287521472041600e-01 4.601969835874109904e+00 2.194154768103237174e+00 2.071040847551146036e-01 6.507965650557649973e-01 2.827928589108105850e+00 3.048489996443798145e+00 2.137358953299001951e+04 0.000000000000000000e+00
2.035995337525348781e+00 6.564945277417767500e+01 5.981715804374994061e-01 1.989018187051760644e-01 3.453122686214261661e-01 1.440988146166609063e+01 6.671452688554078136e+00 5.167133008983354481e-01 1.971920163701916362e+00 4.197078915867909821e+00 4.318324651331701070e+00 2.137460436270643186e+04 0.000000000000000000e+00
2.194396273283499621e+00 6.474691455179319632e+01 5.103961105124187325e-01 -2.381956191622521812e-01 5.371118828627585717e-01 1.051175942065554203e+01 5.244340313930132780e+00 4.601878805951993834e-01 5.765165120768103613e+00 1.787674294510080530e+00 1.965852294809169010e+00 2.137470701123718391e+04 0.000000000000000000e+00
2.707216208087932507e+00 6.719991235244569339e+01 5.791755129546656278e-01 -3.252804974863243714e-01 5.143935446415051072e-01 4.937391153986416370e+00 3.216389976654340455e+00 2.462471747030913760e-01 1.544561140776723462e-01 2.134259082049384304e+00 2.248779527515917032e+00 2.137508927950524594e+04 0.000000000000000000e+00
1.964809350662139131e+00 6.549348331485214203e+01 6.295603204725040980e-01 2.263387784106634382e-01 2.032368571024018855e-01 1.219024175889649442e+01 5.762225462364301443e+00 4.977588807578154917e-01 2.278490202073961246e+00 4.492931901878463918e+00 4.742196318462531757e+00 2.137512061084322340e+04 0.000000000000000000e+00
1.208888618654011399e-01 6.702383496430233834e+01 6.594310019018031488e-01 -9.477916445088644393e-01 2.452585444271359327e-01 2.821699295229756377e+00 1.664227482714036643e+00 3.162916827570357858e-01 1.218941539021574982e+00 3.162710957940707779e+00 3.217548005398824795e+00 2.137526010740738275e+04 0.000000000000000000e+00
1.899827490075899350e+00 6.723892584990268517e+01 4.931124914727945119e-01 3.123671207767373392e-01 6.716005272411210703e-01 7.993294073925238941e+00 5.069197923141637752e+00 3.677265618440185291e-01 2.306997859410040874e+00 4.252006523417731110e+00 4.262668814918987081e+00 2.137539975351994508e+04 0.000000000000000000e+00
1.681309563693745401e+00 6.755394632021983625e+01 6.914644540544767626e-01 8.981520020971885954e-01 5.170833186535317427e-02 2.954722610587842802e+00 1.661910347638338781e+00 2.821810913132794529e-01 2.614383521419967771e+00 4.594593683995060296e+00 4.783042143772371801e+00 2.137568971733457511e+04 0.000000000000000000e+00
2.012617559113547117e+00 6.594308855115747292e+01 6.006459516711126767e-01 2.639922852709343237e-01 3.540039534546042810e-01 1.073766044146881171e+01 5.113844238010723409e+00 4.369736293966462459e-01 2.062976592165763901e+00 4.262332423958646643e+00 4.234772824012653203e+00 2.137589923351385733e+04 0.000000000000000000e+00
