# psi Mf af cosiota Q A2220 A2221 A2330 phi2220 phi2221 phi2330 logL logPrior
2.737155269728253959e+00 6.527462944661212418e+01 5.781439360455876697e-01 6.104511503743441647e-01 3.422471178831991701e-01 5.888001167025383786e+00 3.420601581280815040e+00 1.914580418143550511e-01 1.456058386492994350e-01 2.718228298913500485e+00 5.066090210826691198e+00 2.109138878613157794e+04 0.000000000000000000e+00
2.284828574863380979e+00 6.525411778064490420e+01 5.960143453153664561e-01 1.189252392514292822e-01 3.717394292346745122e-01 1.513506103192601948e+01 1.227187760023432261e+01 7.013506456075513373e-02 1.836735651876968412e-01 2.584318018238737302e+00 5.762827668385046564e-01 2.109191873116155693e+04 0.000000000000000000e+00
6.789281142072363107e-01 6.457152100952298213e+01 6.159123202996328317e-01 -9.173948254460552454e-02 1.066438110626308396e-02 1.770664121375483901e+01 1.108369236567608418e+01 4.731013868670285727e-01 2.728520182108984837e+00 5.163436301855612420e+00 1.628747932800060028e+00 2.109311796379553925e+04 0.000000000000000000e+00
2.698822982150584915e-01 6.413545206227365725e+01 6.178162158676806515e-01 1.141784135668727773e-01 1.048633256340139076e-02 1.896051058492618679e+01 1.430047748493290705e+01 5.384258381677711758e-02 5.627340550235516048e+00 1.790970716838343524e+00 2.474334082501361276e-01 2.109321458435782188e+04 0.000000000000000000e+00
7.319123998465755232e-01 6.613576273117729443e+01 6.223935946576242273e-01 -1.115467381598038016e-01 2.046940683191934007e-01 1.366821595953831903e+01 8.172785890414747456e+00 4.043733370477375355e-01 2.783096594994477702e+00 5.133877707779142874e+00 2.508204090813497267e+00 2.109331480137139079e+04 0.000000000000000000e+00
2.598668340597748649e+00 6.602151712494102753e+01 5.859813669206285214e-01 4.834955881893661656e-01 3.954071195889825585e-01 6.666923522406313474e+00 4.619530120581025301e+00 9.661412831039303817e-02 2.562941726009794752e-01 2.634541031634313857e+00 6.317011603624315130e-01 2.109351338649962781e+04 0.000000000000000000e+00
2.291643296818835829e+00 6.756731270779491183e+01 5.039053813251663794e-01 1.290203401349671319e-01 6.404615173568612985e-01 1.415310098403146100e+01 9.379246178748523732e+00 1.603883504015861106e-01 3.327533973767204389e-01 2.808867694892950517e+00 6.192023019844878462e+00 2.109357122837664429e+04 0.000000000000000000e+00
1.774097835538685608e+00 6.459967627664190104e+01 6.100783751013880707e-01 -1.742154215518079141e-01 4.639582656663403248e-02 1.423004047612192657e+01 8.621765079113117736e+00 3.827743805323138293e-01 3.686968435646203801e+00 5.735654396455777682e-02 2.281116287409959753e+00 2.109359647349338411e+04 0.000000000000000000e+00
2.805344869147070042e-01 6.601993712113389279e+01 6.060299466037404326e-01 -3.103153910369612634e-01 2.848846530507530006e-01 1.141114838385078656e+01 6.850339997362619116e+00 4.118210294642044578e-01 9.718020659355320889e-01 3.439484442439890266e+00 4.701830706803376558e-01 2.109393327210702410e+04 0.000000000000000000e+00
1.638522041079028879e+00 6.567020720956128343e+01 5.826079860257493692e-01 2.374488246933472713e-01 3.222701845894824224e-01 9.775594736259360928e+00 5.538065748808347344e+00 3.157867857092033770e-01 2.739724646498148175e+00 5.220515323877384262e+00 2.027023951138093860e+00 2.109396661988303094e+04 0.000000000000000000e+00
2.579025256854163395e+00 6.881082639739025808e+01 5.984921912282379353e-01 -2.929278911755648362e-01 5.104685622210356488e-01 7.477556670747040002e+00 5.664071380544517531e+00 1.753728079748110846e-01 5.828162607067001844e+00 1.822956475543555444e+00 5.938607673809278786e+00 2.109524709812779838e+04 0.000000000000000000e+00
8.520605960943941071e-01 6.389204471052180878e+01 5.901286816590474160e-01 -3.749999339370582163e-01 2.259031245014775369e-01 8.616974202782905934e+00 6.202467557747371352e+00 1.105065671632750463e-01 2.441850166718809501e+00 4.911333080388246231e+00 9.755784395229846195e-01 2.109537453365396868e+04 0.000000000000000000e+00
4.749577089352627346e-01 6.749398097037573052e+01 4.150345043910114717e-01 5.507435020291905348e-01 7.603840050524073302e-01 6.662403144769007746e+00 3.984664259134099495e+00 1.981336456438895222e-01 4.636994112557636605e+00 6.820736154048171462e-01 4.334244681997282633e+00 2.109543573145929258e+04 0.000000000000000000e+00
1.051233670859427871e+00 6.786858163745220907e+01 6.373970333808494093e-01 -8.748388490479749313e-01 3.417087493562968037e-01 4.374034018539464164e+00 3.027489692024953882e+00 1.558426592061923077e-01 2.641292838606086324e+00 5.042482538427112360e+00 2.138727002706366509e+00 2.109545399635503054e+04 0.000000000000000000e+00
2.025953609114144793e+00 6.817368212905290648e+01 4.647888704077335342e-01 -2.072642798624766969e-01 7.248343364515225096e-01 1.749445423763697605e+01 1.364802299757528559e+01 6.402331988866766244e-01 4.506138332816515657e+00 4.160240504120937266e-01 4.698399428001832412e+00 2.109558952130626494e+04 0.000000000000000000e+00
1.571386423554082867e+00 6.513655744107613543e+01 5.519435281279962968e-01 -3.201005091982924711e-01 4.782647270826843600e-01 8.503097974400247949e+00 6.742154259234012237e+00 4.321304036620268046e-02 3.367214411605513380e+00 5.771879421735468085e+00 3.143937752159190246e+00 2.109561482140493899e+04 0.000000000000000000e+00
2.218318601743963114e+00 6.466256298391732571e+01 5.024551479706965695e-01 -1.447938514507157159e-01 5.433927702975255292e-01 1.788262044250911842e+01 1.230733547128170713e+01 1.913637772472331633e-01 5.577002379537526089e+00 1.820048691847535149e+00 3.688780960798051289e+00 2.109563594070710315e+04 0.000000000000000000e+00
2.327682799018512050e+00 6.031563410311876794e+01 1.414577045618626017e-01 7.100498860970723136e-01 9.582869103883562278e-01 5.728919695177047799e+00 3.844418263176394568e+00 1.791332967399386356e-01 8.630958904223037242e-01 3.440038260957590133e+00 5.403773699747543624e+00 2.109574331358100608e+04 0.000000000000000000e+00
1.004795625710227958e+00 6.414222881685890343e+01 6.078488935860418829e-01 -5.225728102359636917e-01 1.164258491979056620e-01 6.664606837064418698e+00 4.794547444304408934e+00 6.446648309167619939e-02 2.631890716939857100e+00 5.092802253748727637e+00 2.609995924996018957e+00 2.109577595589853081e+04 0.000000000000000000e+00
1.759945775338548124e+00 6.593995058194343528e+01 5.869006414304855923e-01 3.750905093631625720e-01 3.964341224214388282e-01 9.217502749622681790e+00 6.284449836231788211e+00 2.505990549010411184e-01 2.225308866396931151e+00 4.654972127195978970e+00 1.511528392180733649e+00 2.109584828621479392e+04 0.000000000000000000e+00
2.657517152446429165e+00 6.413855204763251550e+01 3.461169552894605150e-01 1.550321283298040399e-02 8.016866912743858542e-01 8.622652781742468520e+00 6.692088594488011744e+00 1.606613015223534377e-02 6.122124257910787293e+00 2.283540143310628157e+00 2.028101682764179792e+00 2.109588105046683268e+04 0.000000000000000000e+00
1.844486500768191428e+00 6.831621818573873384e+01 6.182728632863465634e-01 -1.222434492169978959e-01 4.101297965605645302e-01 1.668228834408322925e+01 1.046638855353461572e+01 5.852862357788374270e-01 3.622725640819022264e+00 5.856678958185838724e+00 3.261146218065896107e+00 2.109593414560573729e+04 0.000000000000000000e+00
9.871575269791732499e-01 6.720660223364500041e+01 6.132557285376545320e-01 4.172954654520846240e-01 3.913041782498041243e-01 7.070995327914358697e+00 5.101375073147143446e+00 1.094130987144392719e-01 3.410146235775945556e+00 5.822638870902721919e+00 3.552669239154754521e+00 2.109596769580566252e+04 0.000000000000000000e+00
6.928188921406983614e-01 6.734499886717192396e+01 6.256097118438188609e-01 3.757200459772172541e-01 2.998392246424856356e-01 9.227821167228391630e+00 5.386138816378974958e+00 2.450839377609955461e-01 4.071345387586521092e+00 2.758477697510565707e-01 3.517738201531526610e+00 2.109604450900947631e+04 0.000000000000000000e+00
1.130402041656888512e+00 6.866074031140593092e+01 6.802213020268762511e-01 2.700106319815780420e-01 2.026713311230676495e-01 7.001572274012381136e+00 4.607316445169566954e+00 1.230391046522684440e-01 3.179290920379819418e+00 5.508801768263230869e+00 3.214979102962767232e+00 2.109605377393746312e+04 0.000000000000000000e+00
