# psi Mf af cosiota Q A2220 A2221 A2330 phi2220 phi2221 phi2330 logL logPrior
1.725586227206920231e+00 6.543284973855561759e+01 3.161575901690064083e-01 5.426170509688933441e-01 8.701350611919986822e-01 4.384343629605682580e+00 3.236805597845302085e+00 2.656699576601919133e-01 2.527104569975766157e+00 4.300237722390284567e+00 4.190278767700694296e+00 2.112555668728099045e+04 0.000000000000000000e+00
1.889947613796382875e+00 6.938252913630775254e+01 7.206780094116795876e-01 -7.585146724299076659e-01 1.707464427776065885e-01 3.323236815450687054e+00 2.230807967504184752e+00 1.894656787596210590e-01 4.680324841771960287e+00 2.362188571508380963e-01 3.550765226123574481e-01 2.112563004311355326e+04 0.000000000000000000e+00
2.247231774607871380e+00 6.592944935332788248e+01 5.583849042077748681e-01 -8.140761306861786506e-02 4.520478133592945036e-01 1.265549679370728242e+01 5.080514810660663905e+00 4.467365917683804866e-01 1.543667771764338226e-01 2.377629923350640606e+00 2.073662908590739651e+00 2.112735170708397345e+04 0.000000000000000000e+00
1.938912231569986044e+00 6.078931781815559532e+01 1.803812296349276978e-01 -7.675506905137613467e-02 9.266282748097349753e-01 2.483767490320794025e+01 1.168912003471484340e+01 6.708232918121850297e-01 4.248784038425245768e+00 2.155231887302856697e-01 5.075134784967475499e-01 2.112789485626478563e+04 0.000000000000000000e+00
1.328307520673835729e+00 6.580053650314901859e+01 4.641816261056323500e-01 9.525798993143992366e-01 6.855558452687161575e-01 2.924631840253025583e+00 1.833131779604864064e+00 5.325540859968119767e-01 3.267024513801657815e+00 5.298448477655590239e+00 5.375401311196017495e+00 2.112856630447905263e+04 0.000000000000000000e+00
2.270395980426222593e+00 6.694867382861771432e+01 6.274643367959709117e-01 1.065540859772036164e-01 3.898229154433551780e-01 1.066678894885714612e+01 7.069217617224431649e+00 3.581178357158810166e-01 6.523918996686517424e-01 2.616185289029711480e+00 2.806700099649185542e+00 2.112994955257627225e+04 0.000000000000000000e+00
2.370137229902382348e-01 6.313799225657528069e+01 5.975198062475495231e-01 6.531296951187849642e-02 9.849164101661586623e-02 1.371835645671066928e+01 7.289036211458310710e+00 5.245507466296863708e-01 1.240733359405761516e-01 2.530181962203292390e+00 2.729882972003345731e+00 2.112995448186263820e+04 0.000000000000000000e+00
5.348622271476097811e-01 6.558533875674780234e+01 5.900933331372588686e-01 4.394134884574145139e-01 3.907659494960248336e-01 6.229069845971116237e+00 3.478402878573706669e+00 3.520306981950717118e-01 4.877009953150801103e+00 6.937998555795432676e-01 7.133294456124065208e-01 2.113033474725528868e+04 0.000000000000000000e+00
6.969951278772403835e-01 6.526454357098144499e+01 6.168005856636500361e-01 1.561118100251789320e-01 2.656443597403158607e-01 1.056347071446690578e+01 4.995909976924097329e+00 3.163912280093209017e-01 4.061155592343404841e+00 6.205171536544976441e+00 5.107755137076053220e-01 2.113053186873273080e+04 0.000000000000000000e+00
2.878815964460672561e+00 6.614458542332398849e+01 5.531393967208091400e-01 -8.152814448030456518e-01 5.479877861508186676e-01 3.375811003177574321e+00 2.233774522086202641e+00 3.087043042894859757e-01 3.719036626293960035e-01 2.485021401509015071e+00 2.629931389904288874e+00 2.113056483088673849e+04 0.000000000000000000e+00
