# psi Mf af cosiota A2220 A2221 A2330 phi2220 phi2221 phi2330 logL logPrior
1.640744261166437568e+00 6.701958867347241267e+01 6.651143527697755964e-01 -3.727875568785221083e-01 3.756828915201571917e+00 7.549765531549821329e-01 1.452415688799437998e-01 4.689667552316985066e-01 3.540898993640039016e+00 4.526176629543719798e+00 2.142343931559583143e+04 0.000000000000000000e+00
8.042191866556404056e-01 6.685055412293021959e+01 6.719345704912599304e-01 -3.136656240039735755e-01 4.013058460734069577e+00 1.133790167669017412e+00 8.844281880280772945e-02 5.458828444689698856e+00 1.008375181165428014e+00 4.050347797659168414e+00 2.142383583990263651e+04 0.000000000000000000e+00
1.908774216230690435e+00 6.891917271699217906e+01 6.980135218812542064e-01 1.671252852237130881e-01 8.021624403807077641e+00 6.394415290819770448e-01 2.866791394875062848e-01 5.258750511461775190e+00 6.285006100926407990e-01 3.460081874928507162e+00 2.142512265115332411e+04 0.000000000000000000e+00
7.143341944271474064e-01 6.952757754563181436e+01 7.248749463203920662e-01 3.551955091951713994e-01 3.842136857083682688e+00 1.320588568060558465e+00 8.826521450132807090e-02 5.671066673781958167e-01 2.205187784948218432e+00 4.998469085689316138e+00 2.142560281734596720e+04 0.000000000000000000e+00
2.239174472377751801e+00 6.445650167537721131e+01 6.304228566852591031e-01 2.060438024364601162e-01 6.531796937067206876e+00 1.895887113549753478e+00 2.329041947727894524e-01 3.629822349345242394e+00 5.971624805533402913e+00 1.457866927758955100e+00 2.142569370133688426e+04 0.000000000000000000e+00
1.858909246777142865e+00 6.510603860852505420e+01 6.384130442083463253e-01 1.090284037000826128e-01 9.254925297494501990e+00 2.015474842390708510e+00 2.759918681258130557e-01 5.556126958128229987e+00 1.756624633359013643e+00 3.695097849302472426e+00 2.142592371978555457e+04 0.000000000000000000e+00
9.050414252713590013e-01 6.644912649662205695e+01 6.492772292067090500e-01 -4.603296624932336489e-01 3.297886724290563620e+00 6.134328287036980853e-01 1.334611307233722344e-01 5.644273324940541237e+00 2.592829800092253389e+00 3.444397872906810765e+00 2.142663404661903769e+04 0.000000000000000000e+00
2.994796389454753793e+00 6.671301910155617065e+01 6.531836926649869923e-01 -5.347309567115025863e-02 3.776154581090708451e+00 4.947888261969313750e-01 1.390722084467987119e-01 3.111209805572159315e+00 1.702159520559776984e-01 1.106443228886538677e+00 2.142671624793004958e+04 0.000000000000000000e+00
2.969878956068098486e+00 6.491921025557809344e+01 6.388089584462280923e-01 -4.646140783332868285e-01 3.179592511679901090e+00 1.038498908352772254e+00 1.315432468427179813e-01 3.145292428364371062e+00 5.749680354163296592e+00 5.788724356996608478e-01 2.142672627962953266e+04 0.000000000000000000e+00
2.102464720209289428e+00 6.848356493851535731e+01 6.915758777620641951e-01 1.874902629294988299e-01 8.452033198466882169e+00 8.068652997776707414e-01 2.956407806462450494e-01 4.228246957686551788e+00 7.286025666975288750e-01 2.202992778596468249e+00 2.142682114378549522e+04 0.000000000000000000e+00
2.158010072950015346e+00 6.606440511305434882e+01 6.704910091046137888e-01 -1.769433329586487802e-01 8.204803560306231702e+00 2.927151660188063165e+00 2.021097838415662762e-01 1.917005584890791647e+00 3.901513028826178342e+00 9.600332961558388778e-02 2.142701689582610197e+04 0.000000000000000000e+00
7.036058596030900780e-01 6.692315789869242337e+01 6.704202382451509568e-01 2.024888088591593749e-01 5.802465570499286684e+00 1.375110180748873256e+00 1.691394740779934291e-01 4.444010403447393731e-01 2.664608938443141284e+00 4.681288762950940985e+00 2.142742903811710858e+04 0.000000000000000000e+00
6.778062609227804014e-01 6.819488319876019489e+01 6.972647972292745910e-01 -2.329464522128679715e-01 5.469481629646973708e+00 1.107088327702966168e+00 1.100833727077487195e-01 5.310170538289031406e+00 1.045528318612257701e+00 3.132619250693043256e+00 2.142751460859263534e+04 0.000000000000000000e+00
2.098953178549812115e+00 6.587648049937348560e+01 6.404763054666909872e-01 -8.874981180815669779e-01 2.035645739607466975e+00 3.253477612989763013e-01 1.459636487242944314e-01 1.620156422900164594e+00 4.768828225052077485e+00 5.920552352983201594e+00 2.142755343053345132e+04 0.000000000000000000e+00
9.536266609874843869e-01 6.721690095923558772e+01 6.919419235919797018e-01 3.907464115089788748e-01 3.212243775176128135e+00 1.067342979841957140e+00 1.017911391408883454e-01 1.240905493139184690e-01 2.005059905168411483e+00 4.206773352730758475e+00 2.142762756166612598e+04 0.000000000000000000e+00
1.154456359227197026e+00 6.841931916267883196e+01 6.965111281164435564e-01 8.535647603756532642e-02 3.436556630809881163e+00 5.663694560083499807e-01 7.196750787773124880e-02 6.149924688467319100e+00 2.235867331885427411e+00 3.878696033283901556e+00 2.142768091398788238e+04 0.000000000000000000e+00
1.834473011854264479e+00 6.664876072578228161e+01 6.636839965830756416e-01 6.372268173628220511e-01 2.760063306485241341e+00 5.752709586481494775e-01 9.749149751016268628e-02 4.971966093694804023e+00 1.242295351491947697e+00 2.361329812463629274e+00 2.142776554362786192e+04 0.000000000000000000e+00
6.317087943619099644e-01 6.835399882140166028e+01 7.016523254599303927e-01 2.340190566272664086e-01 5.937265018234958447e+00 1.035443773280804836e+00 1.697054391902418913e-01 6.914731614964397810e-01 2.661491921183563036e+00 5.155186783230355729e+00 2.142779007193181315e+04 0.000000000000000000e+00
2.852590310466284862e+00 6.826079536670232528e+01 6.899692153268883743e-01 3.542464979522506052e-01 2.936958702321578851e+00 2.755448603223455417e-01 9.584731620151973330e-02 2.963322747776368171e+00 4.929250456655274171e+00 1.235285663479785967e+00 2.142794445950540830e+04 0.000000000000000000e+00
8.664038667596550558e-02 6.807776917142047068e+01 7.012984597341440640e-01 3.937144496792906456e-01 3.393150786175557432e+00 1.067875237881673378e+00 5.903275002857337472e-02 2.238080633422900867e+00 3.989810080925050517e+00 8.331938024567969725e-01 2.142794613132662926e+04 0.000000000000000000e+00
8.371764060105928440e-01 6.641146676175300456e+01 6.588097358663961289e-01 -7.964923966201757979e-03 5.212979398078002369e+00 1.202361336022869764e+00 1.156753308239101691e-01 6.086299767480374712e+00 2.147590489014620019e+00 3.662546581386784794e+00 2.142804635463530576e+04 0.000000000000000000e+00
5.914254774869783793e-01 6.694078640193572483e+01 6.638556964159877394e-01 -5.178769452472356538e-02 1.252628166982868052e+01 1.252367804696219666e+00 3.980437622255049712e-01 5.807462303520509295e+00 2.094808879390213985e+00 4.034011656418226011e+00 2.142807118923861344e+04 0.000000000000000000e+00
1.561558631524776475e+00 6.808842388845931737e+01 6.919330006711545966e-01 8.033827109241219455e-01 2.010252432623581331e+00 4.036671020063355986e-01 8.467774881961250000e-02 5.486716831859395072e+00 8.771221532771494855e-01 3.821335781911939122e+00 2.142816299481672104e+04 0.000000000000000000e+00
1.943855411242414011e+00 6.648954852158264828e+01 6.727517990271487669e-01 4.260278509056777962e-01 4.093932330090262361e+00 1.228038898970200243e+00 1.296469689455861662e-01 4.684981996169012675e+00 4.362898095337637283e-01 2.887015593748375242e+00 2.142818481419412274e+04 0.000000000000000000e+00
1.857787475910825270e+00 6.896862149768469408e+01 7.060343486781144318e-01 -3.582159216762727250e-02 9.423778052105930669e+00 1.293958115249382201e+00 2.512540363034581059e-01 4.090769659251027729e-02 1.723605629810381012e+00 4.833618584284121056e+00 2.142820214589520037e+04 0.000000000000000000e+00
7.967222928357476919e-01 6.428826945647979585e+01 6.195728627355255869e-01 -9.837773870151341749e-01 1.930315238175236647e+00 5.112968442831143934e-01 4.087740603323523070e-01 5.212639274885392915e+00 1.765452853557707869e+00 2.876362817312506870e+00 2.142825854592547330e+04 0.000000000000000000e+00
2.168192601838244415e-01 6.805210038039562903e+01 6.883500797182430242e-01 5.063600755082623417e-01 3.122894987824963664e+00 2.760694421806303422e-01 1.437944370265456517e-01 2.010410583787888950e+00 4.077478164871794597e+00 1.562585411385591094e-01 2.142833684270532831e+04 0.000000000000000000e+00
1.735280515828969250e+00 6.630082807137229395e+01 6.681948459742931279e-01 -2.031023588314354381e-02 6.419100733985795060e+00 2.143785025936768118e+00 1.633951226997953643e-01 6.066758865848888682e+00 1.935046166497626841e+00 3.865190543600413697e+00 2.142835288249126461e+04 0.000000000000000000e+00
2.144544679967115730e+00 6.729571498651871764e+01 6.834144972938707152e-01 7.049834530807762567e-01 2.506896723230241708e+00 5.755941920712583926e-01 1.224089977457314404e-01 4.255401493016774950e+00 3.387530482902811890e-01 2.161658917649345479e+00 2.142844654894463019e+04 0.000000000000000000e+00
4.452492567782716515e-01 6.863297088976425187e+01 7.024869795267355554e-01 9.843878467935816001e-01 1.657594727833496373e+00 3.113515962396976589e-01 2.610769166853001422e-01 1.415898955682632465e+00 3.108787701912472556e+00 2.648915545070800598e-02 2.142848268191974785e+04 0.000000000000000000e+00
2.395177412851949406e+00 6.826226212628907319e+01 6.900498407409622059e-01 2.907281732574842903e-01 3.975720579849525649e+00 4.299558487333182688e-01 9.723372813819057547e-02 3.554450586150518898e+00 5.590490428440305415e+00 1.775669011904903449e+00 2.142848789289019624e+04 0.000000000000000000e+00
2.024901061582203621e+00 6.632283945841886919e+01 6.614010512274498543e-01 -6.288195045637986480e-01 2.812749573564609307e+00 5.172451264616891864e-01 1.227777069931388354e-01 1.388926080835457100e+00 3.924469305240229300e+00 5.291567458894961717e+00 2.142853542173403184e+04 0.000000000000000000e+00
1.888943241240075732e+00 6.720113036143840191e+01 6.744519406081262991e-01 4.279003810031863919e-01 3.916511371767529948e+00 7.187288595102785393e-01 1.385862623574464492e-01 4.928615882086647915e+00 7.031242951128048313e-01 2.874075815672025858e+00 2.142862357618919123e+04 0.000000000000000000e+00
1.288202615387096905e+00 6.738156104812176750e+01 6.805751505813524282e-01 5.862026736094814172e-01 2.559522424486914360e+00 3.966440907105919234e-01 1.198778721413178844e-01 6.046802799930610206e+00 2.121119055749090876e+00 3.892939278587954632e+00 2.142867171273658096e+04 0.000000000000000000e+00
1.938133345676653185e+00 6.543338695555526385e+01 6.461278888933238429e-01 -2.242201024363363604e-01 7.651825229764429359e+00 1.716485513024858189e+00 3.224531390817438337e-01 9.591068458843466926e-01 3.630964731311288496e+00 5.077032063469888890e+00 2.142867721220802923e+04 0.000000000000000000e+00
2.217730990150588610e+00 6.905938439234077464e+01 7.051426148691570805e-01 -1.294676597324746596e-02 8.904858707411184682e+00 8.481115532528087364e-01 3.054947726047153034e-01 2.943065344064469624e+00 4.631307823372998733e+00 1.048071932030963493e+00 2.142868469582041507e+04 0.000000000000000000e+00
1.973551103079601798e+00 6.887584294716471334e+01 7.055590954852476449e-01 -1.409575663356275321e-01 1.057992355964839248e+01 2.016293159272712909e+00 3.209655633132885155e-01 9.895882246415977912e-01 2.560739125713198838e+00 5.559087782938449962e+00 2.142878238891345245e+04 0.000000000000000000e+00
2.471246109789138057e+00 6.811021760810152159e+01 6.933895760446018297e-01 -1.315089867087248232e-01 4.210097184423381655e+00 7.978314872992084972e-01 1.242006790230278795e-01 2.745167042163489057e+00 4.986583923190920586e+00 4.820877539513573895e-01 2.142879229523841059e+04 0.000000000000000000e+00
1.259745113260307914e+00 6.661353833220994147e+01 6.615469778619661456e-01 -2.430515130223909193e-01 3.393891842985014673e+00 5.858431484032524672e-01 1.330765377786676806e-01 6.176524595840906073e+00 2.942442182991523492e+00 4.091372961534028185e+00 2.142882783997520528e+04 0.000000000000000000e+00
2.184152929247982211e+00 6.748683786856653910e+01 6.754768191973027358e-01 -7.395592868645303741e-02 1.017064484040428773e+01 8.587474085537053492e-01 3.166445783381335310e-01 2.594935350914027161e+00 5.088654063422017870e+00 8.210943117135274250e-01 2.142889289985600772e+04 0.000000000000000000e+00
2.384750575171621811e+00 6.645318795297821168e+01 6.653254305342014563e-01 -5.389329073139802473e-01 2.927634644544279130e+00 6.747717362474409120e-01 1.063487636668886127e-01 2.164038349056681021e+00 4.034923120605331981e+00 5.598718775697951733e-01 2.142897746075293981e+04 0.000000000000000000e+00
7.946950726986501401e-01 6.686249056878627073e+01 6.722654766629961864e-01 -2.629002961782092029e-01 4.338489669743296417e+00 9.807955921756146278e-01 1.152546198349825440e-01 5.524247467162643588e+00 1.148518122949818698e+00 3.851019415368794441e+00 2.142902478111253367e+04 0.000000000000000000e+00
5.681445044429457303e-01 6.545494180880750434e+01 6.463197053078223453e-01 8.391466877261646307e-01 2.169354653776020658e+00 5.715080005059595125e-01 1.274822196844139222e-01 1.147797744387264451e+00 3.713294486834939345e+00 4.956628250674419256e+00 2.142902722186678147e+04 0.000000000000000000e+00
3.056102554119360937e-01 6.765645690196477346e+01 6.925457427732837346e-01 -5.094207821547777071e-01 3.297053909494552570e+00 1.011906598917607480e+00 8.850411421265762246e-02 4.067634136314595139e+00 6.074009381776184213e+00 1.636137457878684698e+00 2.142904065873843501e+04 0.000000000000000000e+00
1.427821329241839798e+00 6.681539584262792175e+01 6.667060097984099931e-01 -9.522689578584572212e-01 1.794660012569399221e+00 2.523683326334654198e-01 1.940634826873529062e-01 2.109876171301212078e-01 2.280394668721819063e+00 4.879331953760659424e+00 2.142909509582188548e+04 0.000000000000000000e+00
1.537500487957153272e-01 6.910235708345454952e+01 7.116306039250880344e-01 -4.180372222102904378e-01 3.356406045256786541e+00 6.557712179899262139e-01 1.010308226157676237e-01 3.730400423751015992e+00 5.338306626569935709e+00 1.809027474103954258e+00 2.142909843472486682e+04 0.000000000000000000e+00
8.607191991404282705e-01 6.506768283359598115e+01 6.348666562640747912e-01 -1.742844548202583110e-01 4.838226646428450017e+00 1.222251241468505389e+00 1.757694816739487909e-01 5.774869731565286379e+00 2.007885524049026760e+00 3.655633278460489688e+00 2.142910377179363786e+04 0.000000000000000000e+00
2.953485312605244495e+00 6.561845947468466989e+01 6.522625442735553447e-01 -7.765818058928865009e-01 2.272356024260853147e+00 6.865993081776780027e-01 1.048098917299107313e-01 3.176086980474844168e+00 5.468753393193182433e+00 7.957665686100032776e-01 2.142911909835950792e+04 0.000000000000000000e+00
